Iteration;TimeStep;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0; 2 ; 0.031939 ; 100.827 ; 100.859
1; 4 ; 0.05244 ; 7.57141 ; 7.62385
2; 6 ; 0.105808 ; 7.67658 ; 7.78239
3; 8 ; 0.199097 ; 7.04538 ; 7.24448
4; 10 ; 0.411729 ; 7.01136 ; 7.42309
5; 12 ; 0.424033 ; 7.17959 ; 7.60362
6; 14 ; 0.553506 ; 6.05051 ; 6.60402
7; 16 ; 0.706166 ; 6.31978 ; 7.02594
8; 18 ; 0.573548 ; 4.29909 ; 4.87264
9; 20 ; 0.361979 ; 5.21369 ; 5.57567
10; 22 ; 0.36824 ; 2.16361 ; 2.53185
11; 24 ; 0.738942 ; 3.97168 ; 4.71062
12; 26 ; 0.74154 ; 5.10058 ; 5.84212
13; 28 ; 0.813488 ; 3.09883 ; 3.91232
14; 30 ; 0.706782 ; 3.92912 ; 4.63591
15; 32 ; 0.891197 ; 4.77281 ; 5.664
16; 34 ; 0.472207 ; 3.19316 ; 3.66536
17; 36 ; 0.898387 ; 3.91256 ; 4.81095
18; 38 ; 0.848975 ; 4.44055 ; 5.28953
19; 40 ; 0.679825 ; 3.99657 ; 4.6764
20; 42 ; 0.505311 ; 1.93889 ; 2.4442
21; 44 ; 0.409435 ; 3.77834 ; 4.18778
22; 46 ; 0.341057 ; 4.91842 ; 5.25948
23; 48 ; 0.3986 ; 2.75807 ; 3.15667
24; 50 ; 0.567287 ; 3.7468 ; 4.31409
25; 52 ; 0.37095 ; 4.42138 ; 4.79233
26; 54 ; 0.530718 ; 3.38816 ; 3.91888
27; 56 ; 0.599644 ; 3.17209 ; 3.77174
28; 58 ; 1.20115 ; 4.51717 ; 5.71832
29; 60 ; 0.574718 ; 2.36144 ; 2.93615
30; 62 ; 0.375262 ; 2.46993 ; 2.84519
31; 64 ; 0.407911 ; 2.08674 ; 2.49465
32; 66 ; 0.371102 ; 3.05207 ; 3.42317
33; 68 ; 0.339963 ; 4.44063 ; 4.7806
34; 70 ; 0.927481 ; 4.0584 ; 4.98588
