Iteration;TimeStep;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
109; 220 ; 0.818572 ; 5.86273 ; 6.6813
110; 222 ; 0.587194 ; 6.36716 ; 6.95435
111; 224 ; 0.793288 ; 5.50757 ; 6.30086
112; 226 ; 2.03106 ; 4.15623 ; 6.18729
113; 228 ; 0.644827 ; 3.60342 ; 4.24824
114; 230 ; 0.39863 ; 3.7787 ; 4.17733
115; 232 ; 1.28689 ; 5.61976 ; 6.90664
116; 234 ; 0.383423 ; 3.01057 ; 3.39399
117; 236 ; 0.814224 ; 4.07914 ; 4.89336
118; 238 ; 1.12537 ; 8.14933 ; 9.2747
119; 240 ; 1.01659 ; 5.99622 ; 7.0128
120; 242 ; 0.949764 ; 7.26306 ; 8.21282
121; 244 ; 0.678041 ; 4.37981 ; 5.05785
122; 246 ; 0.732698 ; 3.78934 ; 4.52204
123; 248 ; 1.17041 ; 8.44928 ; 9.61969
124; 250 ; 0.893825 ; 4.25649 ; 5.15031
125; 252 ; 4.16048 ; 4.18117 ; 8.34165
126; 254 ; 1.15499 ; 4.62021 ; 5.7752
127; 256 ; 0.908258 ; 3.8315 ; 4.73976
128; 258 ; 0.661942 ; 4.10942 ; 4.77136
129; 260 ; 0.854591 ; 3.89382 ; 4.74841
130; 262 ; 0.830004 ; 5.67242 ; 6.50242
131; 264 ; 0.71642 ; 4.87414 ; 5.59056
132; 266 ; 0.522116 ; 5.06314 ; 5.58525
133; 268 ; 0.589284 ; 3.91336 ; 4.50264
134; 270 ; 0.233807 ; 5.54445 ; 5.77826
135; 272 ; 0.216299 ; 3.59927 ; 3.81557
136; 274 ; 0.41068 ; 7.21928 ; 7.62996
137; 276 ; 0.340163 ; 6.23252 ; 6.57268
138; 278 ; 0.185573 ; 7.49558 ; 7.68116
139; 280 ; 0.177135 ; 7.28253 ; 7.45967
140; 282 ; 0.080914 ; 5.34458 ; 5.4255
141; 284 ; 0.084182 ; 5.99859 ; 6.08277
142; 286 ; 0.048339 ; 6.12416 ; 6.1725
143; 288 ; 0.046963 ; 7.80611 ; 7.85307
144; 290 ; 0.026762 ; 7.44301 ; 7.46977
145; 292 ; 0.04196 ; 8.47666 ; 8.51862
146; 294 ; 0.031123 ; 8.20675 ; 8.23787
147; 296 ; 0.025047 ; 5.28276 ; 5.30781
148; 298 ; 0.034571 ; 7.74962 ; 7.78419
149; 300 ; 0.03552 ; 5.34368 ; 5.3792
150; 302 ; 0.055895 ; 7.04931 ; 7.10521
151; 304 ; 0.028025 ; 4.55965 ; 4.58767
152; 306 ; 0.03265 ; 6.53921 ; 6.57186
153; 308 ; 0.013173 ; 3.74891 ; 3.76209
154; 310 ; 0.010566 ; 2.79311 ; 2.80368
155; 312 ; 0.014193 ; 2.84274 ; 2.85694
156; 314 ; 0.020933 ; 8.41885 ; 8.43978
157; 316 ; 0.021431 ; 4.09753 ; 4.11896
158; 318 ; 0.007842 ; 5.47257 ; 5.48041
159; 320 ; 0.024567 ; 4.64924 ; 4.6738
160; 322 ; 0.016772 ; 7.21949 ; 7.23626
161; 324 ; 0.018787 ; 4.34822 ; 4.367
162; 326 ; 0.010828 ; 4.52718 ; 4.53801
163; 328 ; 0.0104 ; 3.70894 ; 3.71934
164; 330 ; 0.005843 ; 3.24811 ; 3.25395
165; 332 ; 0.00609 ; 2.29866 ; 2.30475
166; 334 ; 0.006088 ; 3.5145 ; 3.52059
167; 336 ; 0.013443 ; 3.91841 ; 3.93185
168; 338 ; 0.012253 ; 3.60735 ; 3.61961
169; 340 ; 0.014833 ; 5.74877 ; 5.76361
170; 342 ; 0.010186 ; 4.13761 ; 4.1478
171; 344 ; 0.008585 ; 3.68771 ; 3.69629
172; 346 ; 0.014666 ; 6.19965 ; 6.21431
173; 348 ; 0.016636 ; 6.03622 ; 6.05286
174; 350 ; 0.008294 ; 5.0384 ; 5.0467
175; 352 ; 0.016654 ; 4.6764 ; 4.69305
176; 354 ; 0.00948 ; 2.77068 ; 2.78016
177; 356 ; 0.013917 ; 4.2415 ; 4.25542
178; 358 ; 0.01479 ; 8.97525 ; 8.99004
179; 360 ; 0.010779 ; 4.61807 ; 4.62885
180; 362 ; 0.008461 ; 5.77332 ; 5.78178
181; 364 ; 0.010397 ; 4.29533 ; 4.30572
182; 366 ; 0.011309 ; 10.324 ; 10.3353
183; 368 ; 0.008569 ; 4.72967 ; 4.73824
184; 370 ; 0.010142 ; 8.22705 ; 8.23719
185; 372 ; 0.010023 ; 4.0326 ; 4.04263
186; 374 ; 0.010363 ; 6.99822 ; 7.00858
187; 376 ; 0.013445 ; 2.96861 ; 2.98205
188; 378 ; 0.011456 ; 6.08037 ; 6.09183
189; 380 ; 0.00795 ; 4.2556 ; 4.26355
190; 382 ; 0.014168 ; 8.5793 ; 8.59347
191; 384 ; 0.007209 ; 5.44174 ; 5.44895
192; 386 ; 0.009813 ; 7.0728 ; 7.08261
193; 388 ; 0.003775 ; 6.03021 ; 6.03399
194; 390 ; 0.004683 ; 7.70983 ; 7.71451
195; 392 ; 0.007724 ; 6.25363 ; 6.26136
196; 394 ; 0.01288 ; 12.9669 ; 12.9798
197; 396 ; 0.008217 ; 7.66571 ; 7.67393
198; 398 ; 0.008525 ; 6.79746 ; 6.80598
199; 400 ; 0.007842 ; 8.57477 ; 8.58261
200; 402 ; 0.00666 ; 7.88946 ; 7.89612
201; 404 ; 0.007233 ; 4.23714 ; 4.24438
202; 406 ; 0.008189 ; 8.13842 ; 8.1466
203; 408 ; 0.007409 ; 6.6819 ; 6.68931
204; 410 ; 0.009696 ; 6.75873 ; 6.76842
205; 412 ; 0.007071 ; 4.69951 ; 4.70658
206; 414 ; 0.010317 ; 19.9036 ; 19.9139
207; 416 ; 0.009156 ; 5.69302 ; 5.70218
208; 418 ; 0.008971 ; 7.55284 ; 7.56181
209; 420 ; 0.007944 ; 5.73195 ; 5.7399
210; 422 ; 0.011043 ; 8.38539 ; 8.39644
211; 424 ; 0.009226 ; 5.40499 ; 5.41422
212; 426 ; 0.003319 ; 3.94662 ; 3.94994
213; 428 ; 0.003203 ; 4.98028 ; 4.98349
214; 430 ; 0.004817 ; 3.91084 ; 3.91565
