Iteration;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0; 0.019696; 71.7868; 71.8065
1; 0.022305; 10.7929; 10.8152
2; 0.045602; 5.29172; 5.33732
3; 0.172152; 3.4509; 3.62305
4; 0.064925; 4.56625; 4.63118
5; 0.122312; 3.40284; 3.52515
6; 0.1207; 2.51809; 2.63879
7; 0.241457; 3.81751; 4.05897
8; 0.223393; 2.53147; 2.75486
9; 0.193119; 3.78278; 3.9759
10; 0.438989; 3.306; 3.74498
11; 0.220951; 2.80479; 3.02574
12; 0.420734; 4.0261; 4.44684
13; 0.429272; 3.48184; 3.91111
14; 0.669608; 3.17249; 3.8421
15; 0.276481; 3.6083; 3.88478
16; 0.635237; 3.67448; 4.30972
17; 0.241246; 2.54742; 2.78867
18; 0.323654; 3.28182; 3.60547
19; 0.221664; 2.83486; 3.05653
20; 0.190186; 1.90764; 2.09783
21; 0.320641; 2.50785; 2.82849
22; 0.812936; 4.35745; 5.17038
23; 0.219527; 3.07709; 3.29662
24; 0.312732; 3.60685; 3.91959
25; 0.582562; 3.98112; 4.56368
26; 0.239062; 2.35054; 2.5896
27; 0.200122; 2.67862; 2.87875
28; 0.196925; 2.76531; 2.96224
29; 0.431585; 3.49756; 3.92915
30; 0.205666; 2.30184; 2.50751
31; 0.537195; 3.69873; 4.23592
32; 0.434676; 2.64807; 3.08275
33; 0.305124; 3.67854; 3.98366
34; 0.596344; 3.13767; 3.73402
35; 0.203283; 3.9248; 4.12808
36; 0.49122; 4.10408; 4.5953
37; 0.428644; 4.11562; 4.54426
38; 0.331512; 4.01197; 4.34348
39; 0.348996; 3.63729; 3.98628
40; 0.374907; 3.11083; 3.48574
41; 0.250942; 2.19483; 2.44577
42; 0.301061; 2.4832; 2.78426
43; 0.576732; 3.82124; 4.39797
44; 0.423814; 4.1854; 4.60921
45; 0.27348; 4.058; 4.33148
46; 0.338471; 2.94278; 3.28125
47; 0.191826; 3.20909; 3.40091
48; 0.394478; 3.96441; 4.35889
49; 0.199104; 2.7688; 2.96791
50; 0.457449; 3.9068; 4.36425
51; 0.316703; 2.25568; 2.57239
52; 0.38813; 3.40935; 3.79748
53; 0.493544; 2.89722; 3.39076
54; 0.266649; 2.55882; 2.82547
55; 0.353396; 4.26841; 4.6218
56; 0.617028; 3.69938; 4.31641
57; 0.612288; 4.27772; 4.89001
58; 0.443232; 5.14334; 5.58657
59; 0.36802; 4.60749; 4.97551
60; 0.238627; 3.15123; 3.38986
61; 0.447389; 3.44108; 3.88846
62; 0.197203; 3.24601; 3.44321
63; 0.326812; 4.23455; 4.56136
64; 0.444502; 3.72772; 4.17222
65; 0.323771; 3.92734; 4.25111
66; 0.549163; 3.3959; 3.94506
67; 0.241761; 3.77339; 4.01515
68; 0.411134; 3.99278; 4.40391
69; 0.606746; 4.3419; 4.94865
70; 0.255533; 3.34872; 3.60425
71; 0.287229; 3.59998; 3.88721
72; 0.195932; 2.26142; 2.45735
73; 0.469557; 4.19769; 4.66725
74; 0.368041; 4.63552; 5.00356
75; 0.629036; 4.22907; 4.85811
76; 0.53012; 4.03631; 4.56643
77; 0.509332; 4.30244; 4.81177
78; 0.268486; 4.00498; 4.27347
79; 0.206904; 2.64926; 2.85616
80; 0.510867; 3.69231; 4.20318
81; 0.559937; 3.74289; 4.30283
82; 0.183883; 2.79947; 2.98335
83; 0.238993; 1.72202; 1.96102
84; 0.3833; 3.31762; 3.70092
85; 0.553058; 3.85405; 4.40711
86; 0.550128; 4.14052; 4.69064
87; 0.398224; 2.8668; 3.26502
88; 0.572583; 3.97492; 4.54751
89; 0.1864; 2.31138; 2.49778
90; 0.193254; 3.59402; 3.78727
91; 0.403301; 2.23059; 2.63389
92; 0.349533; 2.2077; 2.55723
93; 0.194704; 1.59211; 1.78681
94; 0.261639; 3.62329; 3.88493
95; 0.338989; 3.2861; 3.62509
96; 0.5485; 2.9517; 3.5002
97; 0.589486; 4.1677; 4.75718
98; 0.589823; 3.45665; 4.04648
99; 0.264447; 2.55804; 2.82249
