Iteration;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0; 1.0825; 81.1026; 82.1851
1; 2.61978; 20.2171; 22.8369
2; 0.051074; 10.3811; 10.4321
3; 0.070027; 3.25637; 3.3264
4; 0.09127; 9.04515; 9.13642
5; 0.151799; 4.13872; 4.29052
6; 0.192339; 3.71284; 3.90517
7; 0.227868; 3.39344; 3.62131
8; 0.286747; 6.23339; 6.52013
9; 0.282848; 6.18955; 6.47239
10; 0.315443; 3.22575; 3.54119
11; 0.304223; 1.88314; 2.18736
12; 0.406931; 3.04415; 3.45108
13; 0.301116; 5.24111; 5.54223
14; 0.303082; 2.03529; 2.33837
15; 0.726398; 2.1482; 2.8746
16; 1.00329; 6.02067; 7.02396
17; 0.321437; 3.52896; 3.8504
18; 0.477894; 4.24347; 4.72136
19; 0.496159; 3.24837; 3.74452
20; 0.309728; 1.968; 2.27773
21; 0.319181; 7.15734; 7.47652
22; 0.288299; 2.50418; 2.79248
23; 0.324933; 2.90225; 3.22718
24; 0.298032; 1.87541; 2.17344
25; 0.299721; 2.18811; 2.48783
26; 5.5598; 3.27595; 8.83575
27; 0.359178; 2.14662; 2.50579
28; 0.612017; 4.01007; 4.62208
29; 0.57804; 4.33058; 4.90862
30; 0.296042; 2.36129; 2.65733
31; 0.302474; 4.31215; 4.61462
32; 0.30751; 3.15694; 3.46445
33; 0.428566; 6.35232; 6.78088
34; 0.326018; 3.14122; 3.46724
35; 0.476808; 3.38756; 3.86437
36; 0.314706; 2.48276; 2.79746
37; 0.406142; 2.95064; 3.35678
38; 0.337004; 4.92859; 5.26559
39; 0.300819; 2.9582; 3.25902
40; 0.287824; 6.04613; 6.33395
41; 0.702702; 4.37957; 5.08227
42; 0.264491; 1.99847; 2.26296
43; 0.634568; 4.28915; 4.92371
44; 0.330539; 3.21508; 3.54562
45; 0.294347; 5.91449; 6.20884
46; 0.301355; 4.81551; 5.11686
47; 2.63705; 2.22845; 4.8655
48; 0.293626; 8.47667; 8.7703
49; 0.306231; 3.94536; 4.25159
50; 0.305983; 1.94237; 2.24835
51; 0.518181; 5.55861; 6.07679
52; 0.343064; 3.03607; 3.37914
53; 0.297581; 2.7945; 3.09208
54; 0.292702; 2.89429; 3.187
55; 0.662681; 8.18899; 8.85167
56; 0.322658; 3.40203; 3.72469
57; 0.386504; 3.59083; 3.97734
58; 0.313989; 4.35864; 4.67263
59; 0.295104; 3.50779; 3.80289
60; 0.293762; 2.36116; 2.65492
61; 0.329234; 2.53545; 2.86468
62; 0.298069; 2.87559; 3.17366
63; 1.4794; 4.40768; 5.88708
64; 1.35724; 4.65783; 6.01507
65; 0.285837; 5.91867; 6.20451
66; 0.63764; 1.73691; 2.37455
67; 0.293808; 5.05884; 5.35265
68; 0.707342; 3.92591; 4.63325
69; 0.710993; 2.48337; 3.19436
70; 5.07684; 2.39011; 7.46695
71; 0.278544; 2.34561; 2.62416
72; 0.45478; 3.37646; 3.83124
73; 0.26599; 2.00779; 2.27378
74; 0.740715; 5.69845; 6.43917
75; 0.33834; 3.3259; 3.66424
76; 0.766306; 7.93238; 8.69869
77; 0.292598; 3.63572; 3.92832
78; 0.30014; 2.07075; 2.37089
79; 0.27545; 5.77924; 6.05469
80; 0.303337; 2.3055; 2.60883
81; 0.294933; 2.20979; 2.50473
82; 3.7198; 3.42647; 7.14627
83; 0.266412; 2.55145; 2.81786
84; 0.313133; 2.61517; 2.92831
85; 0.268777; 3.07007; 3.33884
86; 0.32092; 5.95704; 6.27797
87; 0.297982; 2.16351; 2.4615
88; 0.283571; 1.98511; 2.26868
89; 0.284023; 2.15398; 2.438
90; 0.705885; 4.92367; 5.62956
91; 0.364683; 4.85152; 5.2162
92; 0.307149; 2.33803; 2.64517
93; 0.286954; 1.95974; 2.24669
94; 0.284082; 3.27361; 3.55769
95; 0.270085; 2.11376; 2.38385
96; 0.278745; 3.63657; 3.91531
97; 0.281522; 3.30332; 3.58484
98; 0.276995; 1.95104; 2.22803
99; 0.69587; 1.83811; 2.53398
