Iteration;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0; 0.008596; 83.3889; 83.3975
1; 0.043084; 14.9948; 15.0379
2; 0.036316; 6.56442; 6.60073
3; 0.058754; 5.36069; 5.41945
4; 0.066256; 3.8; 3.86626
5; 0.247708; 6.12768; 6.37539
6; 0.336534; 7.57187; 7.9084
7; 0.327695; 5.96534; 6.29304
8; 0.393755; 5.04234; 5.43609
9; 0.254259; 6.77963; 7.03389
10; 0.161017; 3.15163; 3.31265
11; 0.154619; 2.99691; 3.15153
12; 0.304064; 5.47511; 5.77917
13; 0.475785; 5.98634; 6.46213
14; 0.467168; 6.14737; 6.61454
15; 0.540237; 5.17906; 5.7193
16; 0.363816; 4.03012; 4.39393
17; 0.220365; 4.74863; 4.969
18; 0.428936; 4.44747; 4.87641
19; 0.179125; 3.56731; 3.74644
20; 0.467314; 5.18709; 5.65441
21; 0.158824; 2.89366; 3.05249
22; 0.160651; 3.2647; 3.42535
23; 0.18764; 2.75071; 2.93835
24; 0.224851; 5.35829; 5.58314
25; 0.156059; 4.47045; 4.62651
26; 0.159575; 3.36745; 3.52702
27; 0.351368; 4.4327; 4.78407
28; 0.160719; 2.81819; 2.97891
29; 0.156312; 3.32637; 3.48268
30; 0.345275; 4.37249; 4.71776
31; 0.399495; 3.74453; 4.14403
32; 0.312978; 2.25837; 2.57135
33; 0.469267; 5.48727; 5.95654
34; 0.357685; 5.27097; 5.62866
35; 0.333385; 6.54522; 6.8786
36; 0.293353; 3.07038; 3.36373
37; 0.319426; 2.82088; 3.1403
38; 0.161042; 2.89203; 3.05307
39; 0.183086; 3.70037; 3.88346
40; 0.159049; 4.18195; 4.341
41; 0.310794; 2.84025; 3.15105
42; 0.159086; 1.98195; 2.14104
43; 0.361405; 4.96483; 5.32624
44; 0.396622; 4.85251; 5.24914
45; 0.154202; 2.40383; 2.55804
46; 0.497964; 5.68581; 6.18377
47; 0.443034; 4.45721; 4.90024
48; 0.259322; 4.12214; 4.38146
49; 0.252791; 5.09422; 5.34701
50; 0.332769; 4.88071; 5.21347
51; 0.285294; 4.69781; 4.98311
52; 0.358958; 3.74121; 4.10017
53; 0.205466; 2.55585; 2.76132
54; 0.478903; 4.34309; 4.82199
55; 0.167957; 4.79832; 4.96628
56; 0.313858; 5.85399; 6.16784
57; 0.268091; 4.61352; 4.88161
58; 0.152559; 4.09355; 4.24611
59; 0.450053; 3.73047; 4.18053
60; 0.261945; 3.09119; 3.35314
61; 0.317428; 2.97467; 3.2921
62; 0.365194; 4.96568; 5.33088
63; 0.356131; 4.20705; 4.56318
64; 0.416302; 3.68822; 4.10452
65; 0.444339; 3.81738; 4.26172
66; 0.274309; 4.1229; 4.39721
67; 0.298946; 3.09359; 3.39254
68; 0.162155; 3.86502; 4.02718
69; 0.304097; 3.20986; 3.51395
70; 0.293493; 4.014; 4.30749
71; 0.170495; 1.81104; 1.98153
72; 0.284861; 2.78527; 3.07013
73; 0.246503; 2.9334; 3.17991
74; 0.165909; 3.76813; 3.93404
75; 0.282138; 5.18394; 5.46608
76; 0.30327; 3.95645; 4.25972
77; 0.193762; 2.54357; 2.73733
78; 0.225913; 4.80053; 5.02644
79; 0.264466; 5.39972; 5.66419
80; 0.142642; 4.18866; 4.3313
81; 0.44725; 4.76258; 5.20983
82; 0.251669; 4.95046; 5.20213
83; 0.148545; 4.32354; 4.47208
84; 0.31752; 5.17638; 5.4939
85; 0.171475; 4.98834; 5.15982
86; 0.157305; 2.82464; 2.98194
87; 0.145516; 5.11242; 5.25793
88; 0.156332; 4.96566; 5.12199
89; 0.305315; 4.93798; 5.24329
90; 0.350531; 2.32229; 2.67282
91; 0.325103; 4.3886; 4.71371
92; 0.46584; 4.06392; 4.52976
93; 0.348674; 3.38837; 3.73705
94; 0.428626; 4.31699; 4.74561
95; 0.299156; 3.18108; 3.48024
96; 0.194255; 4.49502; 4.68927
97; 0.170839; 2.26822; 2.43906
98; 0.28291; 4.7772; 5.06011
99; 0.281361; 3.62673; 3.90809
