Iteration;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0; 0.503085; 63.7094; 64.2125
1; 0.016848; 11.1316; 11.1485
2; 0.028526; 6.63751; 6.66604
3; 0.041995; 7.9509; 7.9929
4; 0.097234; 4.30517; 4.4024
5; 0.082581; 7.89697; 7.97955
6; 0.118289; 2.78827; 2.90656
7; 0.150491; 3.54489; 3.69538
8; 0.16183; 2.92844; 3.09027
9; 0.189105; 2.2952; 2.4843
10; 0.187109; 3.69116; 3.87826
11; 0.185813; 3.01621; 3.20202
12; 0.190441; 2.80945; 2.99989
13; 0.183772; 2.83586; 3.01963
14; 0.833612; 3.56329; 4.3969
15; 0.186085; 3.27624; 3.46233
16; 0.195832; 3.30984; 3.50567
17; 0.540491; 3.17645; 3.71694
18; 0.183123; 3.71151; 3.89463
19; 0.192741; 3.05111; 3.24385
20; 0.188089; 3.56094; 3.74903
21; 0.195102; 2.73314; 2.92824
22; 0.181852; 2.82977; 3.01162
23; 0.182864; 2.72506; 2.90793
24; 0.190068; 3.19173; 3.3818
25; 0.189533; 3.94774; 4.13727
26; 0.192249; 2.78872; 2.98097
27; 0.318958; 2.50436; 2.82332
28; 0.180043; 3.51663; 3.69667
29; 0.20871; 4.1394; 4.34811
30; 0.19006; 2.97772; 3.16778
31; 0.206782; 3.81603; 4.02281
32; 0.192113; 3.00223; 3.19434
33; 0.194802; 3.40349; 3.5983
34; 0.196611; 3.1814; 3.37801
35; 0.430807; 2.76003; 3.19084
36; 0.190568; 2.48535; 2.67592
37; 0.188563; 2.14328; 2.33184
38; 0.194796; 2.85358; 3.04838
39; 0.194062; 2.15229; 2.34636
40; 0.195173; 3.41227; 3.60744
41; 0.184691; 2.06696; 2.25165
42; 0.177428; 2.51578; 2.6932
43; 0.18466; 3.16247; 3.34713
44; 0.212245; 3.18503; 3.39727
45; 0.520199; 2.20746; 2.72766
46; 0.193214; 4.39784; 4.59106
47; 0.292448; 3.35005; 3.6425
48; 0.194413; 2.51563; 2.71004
49; 0.206911; 3.10599; 3.3129
50; 0.187429; 2.01011; 2.19754
51; 0.196242; 3.04287; 3.23912
52; 0.190003; 3.78396; 3.97396
53; 0.222639; 3.35635; 3.57899
54; 0.209962; 2.54901; 2.75897
55; 0.189305; 4.5377; 4.72701
56; 0.196527; 4.04665; 4.24318
57; 0.192054; 2.5554; 2.74746
58; 0.205827; 3.75257; 3.95839
59; 0.19421; 3.31415; 3.50836
60; 0.196831; 3.03376; 3.23059
61; 0.192139; 3.85542; 4.04756
62; 0.200784; 3.45639; 3.65718
63; 0.201724; 2.22928; 2.431
64; 0.189115; 4.2839; 4.47301
65; 0.192874; 2.78284; 2.97571
66; 0.192516; 3.1857; 3.37822
67; 0.19713; 2.46256; 2.65969
68; 0.190798; 2.74458; 2.93538
69; 0.201585; 3.13686; 3.33845
70; 0.182974; 3.80817; 3.99115
71; 0.185968; 2.03689; 2.22286
72; 0.192745; 3.00791; 3.20065
73; 0.198889; 3.25305; 3.45194
74; 0.180487; 4.20892; 4.38941
75; 0.189396; 2.43533; 2.62473
76; 0.184684; 3.33667; 3.52135
77; 0.180996; 4.17916; 4.36015
78; 0.194187; 2.82098; 3.01517
79; 0.195676; 4.97198; 5.16765
80; 0.187642; 3.09112; 3.27877
81; 0.208803; 4.71134; 4.92014
82; 0.186102; 3.82904; 4.01514
83; 0.189848; 4.12348; 4.31332
84; 0.287166; 3.85414; 4.14131
85; 0.191204; 4.64424; 4.83545
86; 0.191393; 3.11662; 3.30801
87; 0.190232; 4.16824; 4.35847
88; 0.192693; 4.14371; 4.33641
89; 0.199804; 4.23401; 4.43382
90; 0.271675; 2.80412; 3.0758
91; 0.370128; 3.94708; 4.31721
92; 0.199673; 2.74005; 2.93973
93; 0.187331; 3.71577; 3.9031
94; 0.187876; 2.96542; 3.1533
95; 0.243918; 2.30313; 2.54704
96; 0.187615; 3.15731; 3.34493
97; 0.200928; 3.9593; 4.16023
98; 0.187715; 3.15294; 3.34066
99; 0.182841; 2.80477; 2.98761
