Iteration;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0; 0.090259; 82.608; 82.6983
1; 0.115931; 16.8146; 16.9305
2; 0.762602; 5.60661; 6.36921
3; 0.054056; 2.55544; 2.6095
4; 0.094017; 3.19339; 3.2874
5; 0.096667; 4.85868; 4.95535
6; 0.146935; 5.19218; 5.33911
7; 0.202964; 3.46223; 3.6652
8; 2.21816; 1.917; 4.13516
9; 0.228203; 1.76506; 1.99326
10; 0.257631; 2.63727; 2.8949
11; 0.285646; 1.59187; 1.87752
12; 0.816506; 1.95316; 2.76967
13; 0.256613; 1.81262; 2.06923
14; 0.30074; 2.06928; 2.37002
15; 0.297834; 1.74611; 2.04395
16; 0.3182; 2.07777; 2.39597
17; 0.302566; 1.88952; 2.19208
18; 0.302459; 2.03054; 2.333
19; 0.393192; 1.58262; 1.97581
20; 1.83021; 1.88763; 3.71783
21; 0.393777; 1.93522; 2.329
22; 0.32679; 3.24227; 3.56906
23; 0.33792; 1.81015; 2.14807
24; 0.537035; 2.01706; 2.55409
25; 0.329232; 2.30983; 2.63906
26; 0.332168; 1.61107; 1.94324
27; 0.393961; 1.62172; 2.01568
28; 0.335237; 1.68313; 2.01836
29; 0.660675; 1.9685; 2.62918
30; 0.348951; 2.09531; 2.44426
31; 0.349614; 1.99115; 2.34076
32; 0.993898; 2.24224; 3.23614
33; 0.354918; 4.94331; 5.29822
34; 0.334956; 1.7913; 2.12626
35; 0.346668; 2.57339; 2.92006
36; 0.392204; 1.77454; 2.16674
37; 0.339806; 2.58908; 2.92889
38; 0.396847; 1.96541; 2.36226
39; 0.365154; 1.89086; 2.25602
40; 0.343113; 1.65056; 1.99367
41; 0.346507; 1.86469; 2.2112
42; 0.349346; 1.83889; 2.18823
43; 1.11841; 1.71362; 2.83203
44; 0.340572; 1.70076; 2.04134
45; 0.343497; 3.16923; 3.51273
46; 0.367281; 2.23425; 2.60153
47; 0.351891; 1.91765; 2.26954
48; 0.350746; 1.84614; 2.19689
49; 0.348676; 4.94401; 5.29268
50; 0.384338; 1.9701; 2.35444
51; 0.332953; 3.12302; 3.45598
52; 0.348888; 1.73979; 2.08868
53; 0.339142; 1.94069; 2.27983
54; 0.34074; 3.1232; 3.46394
55; 0.453; 3.48623; 3.93923
56; 0.333989; 2.5204; 2.85438
57; 0.343643; 2.66915; 3.01279
58; 2.08041; 7.36049; 9.4409
59; 3.07307; 1.83196; 4.90503
60; 0.315444; 1.68681; 2.00226
61; 0.331062; 2.03271; 2.36377
62; 0.330825; 1.63126; 1.96209
63; 0.331366; 3.48176; 3.81313
64; 0.819176; 3.16257; 3.98175
65; 0.346199; 2.38181; 2.72801
66; 0.334295; 1.64038; 1.97468
67; 0.347016; 1.65396; 2.00097
68; 0.329776; 1.62161; 1.95138
69; 0.562044; 3.85165; 4.4137
70; 0.332777; 2.65079; 2.98357
71; 0.321092; 1.55276; 1.87386
72; 0.340653; 4.85111; 5.19176
73; 0.315619; 3.89255; 4.20817
74; 0.329258; 1.59105; 1.92031
75; 0.333074; 1.84114; 2.17421
76; 0.341429; 3.88486; 4.22629
77; 0.691612; 1.72919; 2.4208
78; 0.329045; 1.73704; 2.06609
79; 0.342879; 4.94396; 5.28684
80; 0.323808; 2.01432; 2.33813
81; 0.330557; 4.43931; 4.76987
82; 1.36459; 1.84181; 3.2064
83; 0.518942; 2.21044; 2.72939
84; 0.357897; 1.65309; 2.01098
85; 0.301867; 3.44977; 3.75163
86; 0.303501; 1.59686; 1.90036
87; 0.3265; 2.41208; 2.73858
88; 1.84791; 3.99195; 5.83985
89; 5.14275; 4.29593; 9.43867
90; 0.311496; 6.60788; 6.91937
91; 0.307224; 8.36319; 8.67042
92; 0.310105; 3.02777; 3.33788
93; 0.670922; 2.3556; 3.02652
94; 0.334119; 1.68753; 2.02165
95; 0.583925; 7.36742; 7.95135
96; 0.403608; 4.28636; 4.68996
97; 0.313816; 1.77849; 2.0923
98; 0.487606; 4.96114; 5.44875
99; 0.297696; 3.11278; 3.41047
