Iteration;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0; 0.888649; 77.1432; 78.0318
1; 0.797362; 16.0302; 16.8276
2; 0.084621; 7.38369; 7.46831
3; 0.055377; 3.32616; 3.38153
4; 0.071866; 3.69654; 3.76841
5; 0.093073; 3.02038; 3.11345
6; 0.144228; 4.9804; 5.12462
7; 0.167097; 2.11655; 2.28365
8; 0.213007; 1.7373; 1.95031
9; 0.202149; 1.73487; 1.93702
10; 0.216778; 2.75546; 2.97224
11; 0.241396; 2.39855; 2.63994
12; 0.232034; 1.92235; 2.15438
13; 0.570014; 1.78599; 2.35601
14; 0.276924; 2.52351; 2.80043
15; 0.275658; 2.39017; 2.66582
16; 1.22906; 2.23728; 3.46634
17; 0.256303; 2.0949; 2.3512
18; 0.266068; 1.89309; 2.15916
19; 0.284004; 2.18951; 2.47351
20; 0.296197; 2.06435; 2.36054
21; 0.30589; 3.79885; 4.10474
22; 0.299428; 1.80266; 2.10208
23; 0.357228; 7.36486; 7.72208
24; 0.314138; 2.67827; 2.9924
25; 0.749214; 2.83963; 3.58885
26; 0.285322; 2.02007; 2.30539
27; 0.29926; 1.67997; 1.97923
28; 0.305681; 1.90306; 2.20874
29; 0.296408; 1.98026; 2.27667
30; 0.545562; 1.79337; 2.33893
31; 0.754495; 2.16248; 2.91698
32; 0.301607; 2.08332; 2.38492
33; 0.305498; 3.97051; 4.27601
34; 1.53714; 1.82661; 3.36375
35; 3.32055; 4.49552; 7.81607
36; 0.323232; 1.80344; 2.12667
37; 0.301006; 1.77949; 2.08049
38; 0.301287; 1.8023; 2.10358
39; 1.86088; 2.0313; 3.89218
40; 0.306186; 1.69715; 2.00334
41; 0.307715; 1.78231; 2.09003
42; 1.49723; 1.9773; 3.47454
43; 0.295326; 5.49976; 5.79509
44; 1.77376; 2.56971; 4.34347
45; 0.314415; 3.67983; 3.99425
46; 0.308549; 1.86502; 2.17356
47; 0.30774; 1.78241; 2.09015
48; 3.14647; 2.21654; 5.36301
49; 0.511529; 2.2107; 2.72223
50; 0.298945; 1.8475; 2.14645
51; 0.307356; 1.76084; 2.0682
52; 0.319277; 4.72784; 5.04712
53; 0.410324; 2.40176; 2.81209
54; 0.309493; 1.7353; 2.04479
55; 0.333615; 2.65627; 2.98989
56; 0.297873; 2.68059; 2.97846
57; 0.6318; 2.78745; 3.41925
58; 1.96372; 5.19839; 7.1621
59; 0.314924; 4.77801; 5.09293
60; 0.323224; 1.73466; 2.05788
61; 0.914666; 2.32064; 3.23531
62; 0.310741; 4.00439; 4.31513
63; 0.284465; 2.01606; 2.30052
64; 0.325014; 4.83068; 5.1557
65; 0.326037; 1.9682; 2.29424
66; 1.48225; 2.56346; 4.04571
67; 0.351127; 5.54924; 5.90037
68; 0.519641; 2.30756; 2.8272
69; 0.304834; 3.006; 3.31083
70; 1.85483; 3.18168; 5.03651
71; 0.291144; 1.84149; 2.13264
72; 0.295704; 4.37081; 4.66651
73; 0.306679; 1.77695; 2.08363
74; 0.314338; 3.13453; 3.44887
75; 0.298597; 2.24559; 2.54419
76; 1.4972; 6.12375; 7.62096
77; 0.29713; 2.34653; 2.64366
78; 0.298919; 1.72417; 2.02309
79; 0.319933; 3.37291; 3.69284
80; 0.308273; 2.96932; 3.2776
81; 0.47815; 2.66596; 3.14411
82; 0.292628; 1.75544; 2.04807
83; 0.310216; 1.88378; 2.194
84; 0.315645; 2.21366; 2.52931
85; 0.308881; 1.77187; 2.08075
86; 0.647614; 3.92782; 4.57544
87; 0.338204; 1.80877; 2.14698
88; 0.290728; 1.72591; 2.01663
89; 0.291974; 1.95293; 2.24491
90; 0.28245; 2.36513; 2.64758
91; 0.49512; 6.05688; 6.552
92; 0.291881; 2.06307; 2.35495
93; 0.300373; 1.81269; 2.11306
94; 0.302291; 3.06104; 3.36333
95; 0.309417; 5.79346; 6.10288
96; 0.302279; 3.02576; 3.32804
97; 0.290834; 5.61296; 5.9038
98; 0.287602; 1.71673; 2.00434
99; 2.38879; 3.72832; 6.11711
