Iteration;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0; 0.035401; 95.8884; 95.9238
1; 0.081243; 19.6805; 19.7618
2; 0.025707; 5.9512; 5.9769
3; 0.038293; 2.7968; 2.83509
4; 0.055239; 4.15096; 4.2062
5; 0.083754; 4.17233; 4.25608
6; 0.124099; 6.61373; 6.73783
7; 0.134999; 2.29854; 2.43354
8; 0.152774; 7.39292; 7.54569
9; 0.172443; 3.56801; 3.74045
10; 0.171649; 3.14831; 3.31996
11; 0.187946; 6.91057; 7.09852
12; 0.201288; 2.57446; 2.77575
13; 0.213106; 3.36555; 3.57865
14; 0.197918; 8.13174; 8.32966
15; 0.216924; 10.0778; 10.2947
16; 0.233292; 2.08282; 2.31611
17; 0.222235; 6.00401; 6.22625
18; 0.224432; 5.47666; 5.70109
19; 0.237413; 1.89806; 2.13548
20; 0.221055; 2.28071; 2.50176
21; 0.24596; 7.98537; 8.23133
22; 0.25128; 8.83008; 9.08136
23; 0.244437; 6.13441; 6.37885
24; 0.250511; 3.5615; 3.81201
25; 0.227741; 4.21877; 4.44651
26; 0.242178; 6.63056; 6.87274
27; 0.23726; 2.69998; 2.93724
28; 0.241681; 2.60719; 2.84887
29; 0.235557; 2.93521; 3.17076
30; 0.248495; 5.64158; 5.89008
31; 0.248858; 2.09402; 2.34288
32; 0.263308; 7.64995; 7.91326
33; 0.269815; 4.7199; 4.98971
34; 0.24262; 7.03447; 7.27709
35; 0.25835; 6.74998; 7.00833
36; 0.272358; 7.82581; 8.09817
37; 0.255217; 2.07906; 2.33428
38; 0.252035; 2.26321; 2.51524
39; 0.330661; 8.58961; 8.92027
40; 0.24761; 2.85834; 3.10595
41; 0.371158; 5.07973; 5.45088
42; 0.248229; 7.45899; 7.70722
43; 0.239936; 2.13389; 2.37383
44; 0.258142; 2.62226; 2.88041
45; 0.302838; 5.3087; 5.61153
46; 0.364674; 5.75377; 6.11845
47; 0.282578; 5.30863; 5.5912
48; 0.262195; 6.4656; 6.7278
49; 0.38334; 6.06461; 6.44795
50; 0.258533; 2.02661; 2.28514
51; 0.369836; 5.72028; 6.09012
52; 0.252231; 7.36346; 7.61569
53; 0.288054; 1.98216; 2.27021
54; 1.52971; 3.66496; 5.19467
55; 0.260163; 5.15247; 5.41264
56; 0.253322; 5.79167; 6.04499
57; 0.298105; 7.36746; 7.66557
58; 0.263254; 5.08932; 5.35257
59; 0.261215; 5.16817; 5.42938
60; 0.282617; 2.13934; 2.42195
61; 0.251941; 4.44457; 4.69651
62; 0.250211; 6.80089; 7.0511
63; 0.285284; 3.97746; 4.26274
64; 0.241381; 2.8832; 3.12459
65; 0.277013; 7.08216; 7.35917
66; 0.269544; 4.77821; 5.04775
67; 2.53277; 7.31272; 9.8455
68; 0.253666; 2.24693; 2.5006
69; 0.245009; 2.03574; 2.28075
70; 0.297802; 2.18721; 2.48501
71; 0.272487; 5.1101; 5.38258
72; 0.261236; 2.05571; 2.31694
73; 0.252396; 6.96191; 7.21431
74; 2.32783; 2.21043; 4.53826
75; 0.260308; 3.73456; 3.99486
76; 0.246339; 6.04353; 6.28987
77; 0.258342; 6.98306; 7.2414
78; 0.23672; 2.93244; 3.16916
79; 0.24395; 2.2821; 2.52605
80; 0.259406; 7.73918; 7.99859
81; 0.349218; 3.01252; 3.36174
82; 0.33711; 3.18297; 3.52008
83; 0.249118; 6.46357; 6.71269
84; 0.240603; 7.45408; 7.69468
85; 0.236392; 6.89513; 7.13152
86; 0.238374; 7.1329; 7.37128
87; 0.233039; 6.20965; 6.44269
88; 0.249354; 3.16694; 3.41629
89; 0.262006; 7.97629; 8.2383
90; 0.23217; 3.05004; 3.28221
91; 0.245416; 8.49553; 8.74094
92; 0.347536; 2.3367; 2.68424
93; 0.273347; 2.74119; 3.01454
94; 0.245415; 8.50482; 8.75024
95; 0.243162; 6.65682; 6.89998
96; 0.250671; 6.48815; 6.73882
97; 0.251062; 1.70919; 1.96026
98; 0.241302; 7.55354; 7.79484
99; 0.233333; 3.20175; 3.43508
