Iteration;TimeStep;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0;1;2.77488;88.8224;91.5973
1;2;0.379885;7.5896;7.96948
2;3;0.317893;4.61343;4.93133
3;4;0.19634;4.84997;5.04631
4;5;0.289489;2.64366;2.93315
5;6;0.230592;4.68333;4.91392
6;7;0.290296;3.22058;3.51088
7;8;0.32009;2.66174;2.98183
8;9;0.285869;2.47209;2.75796
9;10;0.379519;2.0913;2.47082
10;11;0.444638;3.15278;3.59741
11;12;0.573234;3.19722;3.77046
12;13;0.524947;2.78956;3.31451
13;14;0.571061;1.89304;2.4641
14;15;0.619298;2.56018;3.17948
15;16;0.650299;2.98133;3.63163
16;17;2.46366;3.28669;5.75035
17;18;0.956917;2.4566;3.41352
18;19;0.583271;3.11856;3.70183
19;20;0.944855;3.63306;4.57791
20;21;0.600441;3.35885;3.95929
21;22;0.544806;3.61442;4.15923
22;23;0.758238;5.058;5.81624
23;24;1.40122;2.63249;4.0337
24;25;0.848897;3.88959;4.73849
25;26;1.71726;4.13282;5.85008
26;27;0.758259;6.36319;7.12145
27;28;1.15403;5.30272;6.45674
28;29;0.83668;5.20752;6.0442
29;30;0.916354;3.46412;4.38047
30;31;1.06588;2.89168;3.95756
31;32;0.665349;2.38388;3.04923
32;33;0.632502;2.56577;3.19827
33;34;2.10451;2.76843;4.87295
34;35;1.3565;3.52028;4.87678
35;36;1.9715;3.14132;5.11282
36;37;0.617763;3.54714;4.16491
37;38;0.700562;2.32832;3.02889
38;39;0.665818;3.69253;4.35835
39;40;0.645305;2.25625;2.90156
40;41;0.573163;3.52651;4.09968
41;42;0.648604;3.02815;3.67675
42;43;0.817632;2.51198;3.32961
43;44;0.899789;3.05543;3.95521
44;45;1.16521;3.95103;5.11624
45;46;0.858046;8.25945;9.11749
46;47;0.645276;3.70001;4.34529
47;48;0.616392;3.09273;3.70912
48;49;1.1288;4.04543;5.17423
49;50;0.522519;3.26556;3.78808
50;51;0.717585;3.73572;4.4533
51;52;0.590653;1.73275;2.32341
52;53;0.845308;4.00841;4.85371
53;54;1.33257;3.40226;4.73483
54;55;3.05098;5.37669;8.42767
55;56;0.762389;2.60431;3.3667
56;57;0.582743;4.25807;4.84081
57;58;0.725037;2.12514;2.85018
58;59;0.611458;1.70414;2.3156
59;60;1.02288;4.73886;5.76175
60;61;1.06617;4.36761;5.43379
61;62;0.585994;3.42269;4.00869
62;63;2.53507;4.82758;7.36264
63;64;1.00484;6.58852;7.59336
64;65;0.522578;2.89025;3.41283
65;66;0.784534;3.35431;4.13884
66;67;0.698787;3.30934;4.00813
67;68;1.66282;3.20973;4.87254
68;69;0.691036;4.34915;5.04018
69;70;0.691401;3.49874;4.19014
70;71;0.607566;2.34326;2.95082
71;72;0.752166;2.91118;3.66335
72;73;0.542168;2.45234;2.99451
73;74;2.33389;5.61251;7.9464
74;75;0.600036;2.45415;3.05418
75;76;0.635756;2.17775;2.81351
76;77;0.530338;3.21773;3.74806
77;78;0.764157;2.60513;3.36929
78;79;0.55354;3.85315;4.40669
79;80;0.634777;3.68754;4.32231
80;81;0.594728;1.79126;2.38599
81;82;0.707292;2.96877;3.67606
82;83;1.73624;2.49411;4.23035
83;84;0.945813;4.10788;5.0537
84;85;1.06905;2.29159;3.36064
85;86;0.787635;2.82306;3.61069
86;87;0.750188;2.5763;3.32649
87;88;2.06713;2.24986;4.31699
88;89;0.598616;2.24779;2.8464
89;90;0.663172;2.32882;2.99199
90;91;0.620591;3.60118;4.22177
91;92;0.595044;1.88458;2.47963
92;93;0.545259;2.29649;2.84175
93;94;0.599925;3.72739;4.32731
94;95;0.792825;2.91583;3.70866
95;96;0.569718;3.17997;3.74969
96;97;1.14016;4.04793;5.18809
97;98;0.612319;3.1192;3.73152
98;99;3.98742;2.55285;6.54027
99;100;0.768139;3.2894;4.05754
100;101;0.509671;2.8986;3.40827
101;102;0.555155;2.94876;3.50392
102;103;2.36345;3.19109;5.55453
103;104;0.53371;4.01703;4.55075
104;105;1.11993;2.67923;3.79916
105;106;0.601377;2.33154;2.93292
106;107;0.722899;8.04742;8.77031
107;108;1.82603;3.85315;5.67917
108;109;0.812593;4.214;5.02659
109;110;0.878015;2.36535;3.24337
110;111;0.867197;4.03331;4.90051
111;112;2.20784;4.03016;6.238
112;113;3.38174;4.5295;7.91124
113;114;0.691432;3.56876;4.26019
114;115;0.755929;3.13178;3.88771
115;116;0.558594;3.81499;4.37358
116;117;0.669354;3.3616;4.03095
117;118;1.63134;2.37759;4.00893
118;119;0.716407;4.34906;5.06547
119;120;1.94381;2.86097;4.80478
120;121;0.535748;2.15844;2.69419
121;122;0.561964;3.47482;4.03678
122;123;1.07321;3.82826;4.90147
123;124;2.98948;2.16566;5.15513
124;125;0.755975;5.95181;6.70779
125;126;1.12881;3.31475;4.44355
126;127;1.58776;4.96312;6.55088
127;128;0.970408;2.54833;3.51874
128;129;0.788496;3.60435;4.39285
129;130;0.64365;4.25138;4.89503
130;131;2.9131;8.0872;11.0003
131;132;0.98924;3.16908;4.15832
132;133;0.885463;3.66277;4.54823
133;134;0.649268;3.57988;4.22915
134;135;0.825112;2.15097;2.97608
135;136;1.44877;2.48431;3.93308
136;137;0.746867;3.09953;3.8464
137;138;0.806218;4.18445;4.99067
138;139;2.4435;2.36014;4.80364
139;140;0.670993;3.17602;3.84701
140;141;0.562925;2.59772;3.16065
141;142;0.704701;2.6438;3.3485
142;143;2.93598;7.11921;10.0552
143;144;1.48435;3.42684;4.91119
