Iteration;TimeStep;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0;1;0.140018;64.6872;64.8272
1;2;0.384981;5.98387;6.36885
2;3;0.442664;7.66952;8.11218
3;4;0.402657;4.94312;5.34577
4;5;0.754916;3.48906;4.24398
5;6;0.537722;4.55506;5.09279
6;7;0.470951;4.19952;4.67047
7;8;0.295584;3.19096;3.48655
8;9;0.325548;3.61178;3.93733
9;10;0.376668;3.33297;3.70963
10;11;0.616605;3.87386;4.49046
11;12;0.506477;2.77111;3.27758
12;13;0.519464;2.97576;3.49522
13;14;0.674982;3.08976;3.76474
14;15;2.80118;3.88737;6.68855
15;16;0.756956;3.28605;4.04301
16;17;0.783563;2.44663;3.2302
17;18;0.619256;2.24754;2.8668
18;19;0.592771;2.31366;2.90643
19;20;1.20503;3.12015;4.32518
20;21;0.640471;4.49735;5.13782
21;22;0.663984;2.98414;3.64812
22;23;0.645869;4.66587;5.31174
23;24;0.835796;3.33214;4.16794
24;25;1.0777;4.09524;5.17294
25;26;0.828254;3.01713;3.84538
26;27;0.781919;5.44533;6.22724
27;28;2.93118;4.21406;7.14523
28;29;0.822509;4.05711;4.87962
29;30;0.652951;4.67478;5.32773
30;31;0.851521;3.02454;3.87607
31;32;0.726399;3.95014;4.67654
32;33;0.727583;4.01876;4.74634
33;34;1.03685;4.06845;5.1053
34;35;0.78787;2.64485;3.43272
35;36;0.769955;2.52591;3.29587
36;37;2.21442;3.07502;5.28944
37;38;0.616478;2.50111;3.11759
38;39;1.55478;4.67139;6.22616
39;40;0.783279;2.97772;3.761
40;41;0.676409;3.67387;4.35028
41;42;1.52683;3.78192;5.30875
42;43;0.601168;2.0992;2.70037
43;44;0.901867;2.46762;3.36948
44;45;0.935064;2.26851;3.20358
45;46;0.617881;2.60092;3.2188
46;47;0.601702;11.4068;12.0085
47;48;0.806821;3.4221;4.22892
48;49;0.632765;4.13346;4.76623
49;50;1.9792;3.06791;5.04711
50;51;5.23085;3.0855;8.31635
51;52;0.796317;2.90241;3.69873
52;53;2.03985;2.63449;4.67435
53;54;1.68791;2.2229;3.91081
54;55;1.63131;3.86742;5.49873
55;56;0.622322;2.19451;2.81684
56;57;1.0099;3.58107;4.59097
57;58;0.880962;2.32668;3.20764
58;59;0.98407;2.89465;3.87872
59;60;0.710547;3.91523;4.62577
60;61;0.855368;4.0207;4.87607
61;62;0.675968;2.88301;3.55898
62;63;0.698033;3.74298;4.44101
63;64;1.03989;3.48665;4.52654
64;65;0.643049;2.99907;3.64212
65;66;0.682683;2.9318;3.61448
66;67;1.55889;2.84796;4.40684
67;68;0.615522;3.79622;4.41174
68;69;0.583384;2.99113;3.57451
69;70;0.554303;6.87385;7.42815
70;71;0.895806;2.73852;3.63433
71;72;0.995756;2.69095;3.68671
72;73;0.841281;2.74904;3.59032
73;74;1.55654;2.61297;4.16951
74;75;0.841774;2.48395;3.32572
75;76;0.750913;2.63145;3.38236
76;77;0.96379;3.4723;4.43609
77;78;0.59407;3.86098;4.45505
78;79;1.77299;2.71458;4.48757
79;80;0.57674;2.56733;3.14407
80;81;0.66969;2.23174;2.90143
81;82;0.584294;3.78121;4.3655
82;83;0.539677;2.48768;3.02736
83;84;0.895016;3.1515;4.04652
84;85;0.557066;2.85269;3.40975
85;86;7.48101;4.67176;12.1528
86;87;1.53279;5.77789;7.31068
87;88;0.824639;3.31508;4.13971
88;89;0.561364;2.61112;3.17248
89;90;0.671849;4.04093;4.71278
90;91;0.76488;3.30835;4.07323
91;92;0.583978;3.68838;4.27236
92;93;1.6683;2.27214;3.94044
93;94;0.554846;2.54853;3.10337
94;95;0.893922;3.77672;4.67064
95;96;0.708795;3.05213;3.76092
96;97;0.732997;3.51552;4.24852
97;98;0.971272;2.807;3.77827
98;99;0.836495;2.785;3.62149
99;100;0.579154;2.50121;3.08036
100;101;0.564208;4.02476;4.58897
101;102;0.633065;3.91313;4.54619
102;103;0.64421;2.28536;2.92957
103;104;0.804754;2.57522;3.37997
104;105;0.685438;2.2065;2.89194
105;106;0.72826;2.14623;2.87449
106;107;0.979462;2.24791;3.22738
107;108;1.7845;4.05588;5.84038
108;109;0.800653;2.91052;3.71118
109;110;0.738492;2.69497;3.43346
110;111;0.577256;2.73594;3.3132
111;112;0.594731;3.6456;4.24033
112;113;0.622076;2.49793;3.12
113;114;0.688748;3.50536;4.19411
114;115;0.55906;2.53864;3.0977
115;116;0.630377;2.65529;3.28566
116;117;1.11077;3.31917;4.42994
117;118;1.79493;2.66461;4.45955
118;119;0.670291;2.75126;3.42155
119;120;0.586881;2.64249;3.22938
120;121;1.87199;2.70762;4.5796
121;122;0.597817;2.38177;2.97959
122;123;0.97095;3.64796;4.61891
123;124;1.24629;3.34609;4.59238
124;125;0.557566;2.51328;3.07084
125;126;0.653117;3.6718;4.32492
126;127;0.832766;3.08015;3.91291
127;128;0.565439;2.6235;3.18893
128;129;0.564287;8.54822;9.11251
129;130;0.67343;2.60724;3.28067
130;131;0.622259;2.50502;3.12728
131;132;0.626414;2.3154;2.94181
132;133;0.96893;2.55927;3.5282
133;134;0.746333;3.05179;3.79812
134;135;0.714348;3.1889;3.90325
135;136;0.641601;3.41939;4.06099
136;137;0.579697;3.5688;4.1485
137;138;0.598152;3.72744;4.32559
138;139;0.565707;2.57216;3.13787
139;140;0.635168;2.71525;3.35042
140;141;1.49695;2.8454;4.34235
141;142;0.554925;3.6261;4.18102
142;143;0.580319;3.0024;3.58272
143;144;0.657792;4.01069;4.66848
144;145;0.880037;3.2738;4.15384
145;146;1.24767;4.36826;5.61593
146;147;2.39361;3.30823;5.70184
147;148;0.777172;2.63844;3.41561
148;149;0.912676;4.61665;5.52932
149;150;0.683203;2.84607;3.52928
150;151;0.584589;2.11479;2.69938
151;152;0.663255;2.72577;3.38903
152;153;1.10999;2.05828;3.16827
153;154;0.950966;3.23815;4.18912
154;155;2.02255;2.55257;4.57512
155;156;0.559952;4.91691;5.47686
156;157;0.598755;2.65858;3.25734
157;158;0.635106;2.25703;2.89213
158;159;2.9008;3.49115;6.39195
159;160;0.655648;2.58385;3.2395
160;161;0.62098;3.73806;4.35904
161;162;0.882008;3.20616;4.08817
162;163;0.62719;2.66992;3.29711
163;164;0.706012;2.59784;3.30385
164;165;1.98951;3.68561;5.67512
165;166;0.621236;2.57496;3.1962
166;167;0.795889;2.49095;3.28684
167;168;0.570761;2.54168;3.11244
168;169;1.22762;2.84002;4.06764
