Iteration;TimeStep;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0;1;3.27431;91.4233;94.6977
1;2;0.222707;6.46672;6.68943
2;3;0.458749;5.11698;5.57573
3;4;0.189103;3.3147;3.5038
4;5;0.230304;4.40072;4.63102
5;6;0.272049;3.99243;4.26448
6;7;0.467329;5.18507;5.6524
7;8;0.389582;3.65307;4.04265
8;9;0.340323;4.91835;5.25867
9;10;0.591564;3.69929;4.29085
10;11;0.569138;3.85998;4.42912
11;12;0.385186;2.58301;2.9682
12;13;0.607605;4.77504;5.38264
13;14;0.533829;2.41318;2.94701
14;15;0.44609;2.05217;2.49826
15;16;0.714254;4.07844;4.79269
16;17;0.608397;2.22218;2.83057
17;18;0.52713;2.02712;2.55425
18;19;0.74038;3.38293;4.12331
19;20;0.621549;2.66255;3.2841
20;21;0.567681;2.08988;2.65756
21;22;0.558661;2.41716;2.97582
22;23;0.481334;2.13706;2.61839
23;24;0.799784;4.26086;5.06064
24;25;1.27303;3.17587;4.4489
25;26;0.634423;3.81521;4.44963
26;27;0.544665;2.20779;2.75246
27;28;0.804228;2.8785;3.68272
28;29;0.567553;2.62796;3.19552
29;30;0.745164;2.88375;3.62891
30;31;0.641878;2.76696;3.40884
31;32;0.694915;3.23465;3.92956
32;33;0.934774;2.97877;3.91354
33;34;0.594504;2.97732;3.57183
34;35;0.795185;2.61734;3.41252
35;36;0.964864;4.2932;5.25807
36;37;0.60866;3.41673;4.02539
37;38;0.611006;6.4107;7.02171
38;39;0.658637;2.81047;3.46911
39;40;0.603661;2.03826;2.64192
40;41;0.699016;2.76249;3.46151
41;42;0.675709;4.30854;4.98424
42;43;0.708794;2.72403;3.43282
43;44;0.751658;4.57389;5.32555
44;45;0.741519;2.81836;3.55988
45;46;0.917223;2.0608;2.97802
46;47;0.621597;2.32385;2.94544
47;48;0.650859;2.90915;3.56001
48;49;0.800817;3.0057;3.80652
49;50;0.852054;2.43306;3.28511
50;51;0.776467;4.14684;4.92331
51;52;0.678136;3.17279;3.85093
52;53;0.572261;2.72845;3.30071
53;54;0.760811;3.04783;3.80864
54;55;0.955131;2.88171;3.83684
55;56;0.817861;3.79433;4.6122
56;57;1.05225;3.26716;4.31941
57;58;0.755845;3.47923;4.23508
58;59;0.675399;2.48338;3.15878
59;60;0.922466;3.12479;4.04725
60;61;0.763885;3.48346;4.24735
61;62;0.79542;2.31666;3.11208
62;63;0.678387;3.29968;3.97807
63;64;0.697008;2.63371;3.33072
64;65;0.795406;3.47315;4.26856
65;66;0.979854;2.76895;3.74881
66;67;0.65222;3.07329;3.72551
67;68;0.730613;2.55093;3.28154
68;69;0.787538;3.04815;3.83569
69;70;1.29429;2.88492;4.17921
70;71;0.604126;2.98529;3.58942
71;72;1.02475;3.89024;4.915
72;73;0.847175;2.44654;3.29372
73;74;0.508586;2.31312;2.82171
74;75;1.00335;6.37288;7.37623
75;76;0.846374;4.68759;5.53396
76;77;0.955425;3.22108;4.17651
77;78;1.01601;6.88894;7.90495
78;79;0.65982;3.32177;3.98159
79;80;0.853918;6.13748;6.9914
80;81;0.753918;4.65645;5.41036
81;82;0.808955;4.42409;5.23304
82;83;0.837646;2.40434;3.24199
83;84;1.06924;5.56483;6.63407
84;85;0.801327;5.59957;6.40089
85;86;1.41463;3.97156;5.38619
86;87;1.27933;6.42285;7.70218
87;88;1.2262;3.43665;4.66284
88;89;0.652229;3.56079;4.21301
89;90;0.822877;3.68257;4.50545
90;91;1.32945;4.27184;5.6013
91;92;0.691234;2.52392;3.21515
92;93;1.32966;4.0503;5.37996
93;94;0.763932;3.85522;4.61915
94;95;1.1791;5.17441;6.35352
95;96;1.37243;5.0168;6.38923
96;97;0.732247;3.03357;3.76582
97;98;1.00105;5.07102;6.07207
98;99;1.35124;4.60811;5.95936
99;100;0.80089;5.27665;6.07754
100;101;0.498336;2.68249;3.18082
101;102;1.3941;5.5852;6.9793
102;103;0.54011;2.41741;2.95752
103;104;0.894493;4.55834;5.45283
104;105;0.575874;2.91732;3.4932
105;106;1.4515;4.68834;6.13985
106;107;1.57109;6.22687;7.79796
107;108;0.978574;4.8427;5.82127
108;109;0.734942;2.75754;3.49248
109;110;0.748979;4.82203;5.57101
110;111;0.504697;3.1428;3.6475
111;112;1.45566;3.60707;5.06273
112;113;0.713726;2.52632;3.24005
113;114;1.04791;3.94738;4.99529
114;115;0.859833;5.49142;6.35125
115;116;0.861417;6.30044;7.16186
116;117;1.47451;6.91784;8.39235
117;118;0.784053;3.86714;4.65119
118;119;1.67755;5.16637;6.84391
119;120;1.14891;3.90365;5.05257
120;121;1.09276;3.98211;5.07487
121;122;1.64428;5.19119;6.83547
122;123;0.597226;4.3422;4.93943
123;124;0.607912;4.4301;5.03801
124;125;1.34546;4.65745;6.00291
125;126;1.31422;6.55785;7.87207
126;127;1.02439;4.20793;5.23231
127;128;0.992401;3.54029;4.5327
128;129;0.618061;2.35376;2.97182
129;130;0.55577;6.38477;6.94054
130;131;0.722855;3.43996;4.16281
131;132;1.58121;10.0696;11.6508
132;133;0.905106;11.4419;12.347
133;134;0.815464;3.68929;4.50475
134;135;0.716039;8.55087;9.26691
135;136;0.531744;2.84856;3.38031
136;137;0.747468;4.04002;4.78749
137;138;1.11698;5.77991;6.8969
138;139;0.694546;4.28521;4.97975
139;140;0.606893;3.42044;4.02733
140;141;0.920922;3.63543;4.55635
141;142;1.11796;3.42555;4.54351
142;143;0.760969;4.12566;4.88663
143;144;0.796936;2.71499;3.51193
144;145;1.21665;3.27787;4.49452
145;146;2.06879;6.23116;8.29995
146;147;0.896161;3.54184;4.438
147;148;0.626891;2.80203;3.42893
148;149;0.495038;2.67958;3.17462
149;150;0.553695;2.2404;2.7941
150;151;0.57022;3.30181;3.87203
151;152;0.858676;5.57795;6.43663
152;153;0.915298;5.63655;6.55185
153;154;0.531113;2.3578;2.88891
154;155;0.571396;2.94646;3.51785
155;156;0.687619;2.37463;3.06225
156;157;0.500793;2.363;2.8638
157;158;0.736177;2.76714;3.50332
158;159;0.663586;2.48375;3.14734
159;160;0.741573;3.59457;4.33615
160;161;0.511091;3.42271;3.9338
161;162;1.02251;2.78885;3.81136
162;163;1.12584;2.88117;4.00701
163;164;0.529918;2.86728;3.39719
164;165;0.573036;3.18117;3.75421
165;166;0.738063;2.40174;3.1398
166;167;0.565911;2.16774;2.73365
167;168;0.72354;3.01714;3.74068
168;169;0.692344;2.16163;2.85397
169;170;0.564607;2.18337;2.74798
170;171;0.612526;2.75508;3.36761
171;172;0.71904;3.33061;4.04965
172;173;0.930084;3.56991;4.49999
173;174;0.627609;3.05868;3.68629
174;175;0.638315;2.40118;3.0395
175;176;0.654967;2.7267;3.38167
176;177;0.57217;2.09696;2.66913
177;178;0.661625;3.32232;3.98394
178;179;0.747633;3.52822;4.27585
179;180;0.641063;2.19618;2.83724
180;181;0.820236;2.72594;3.54618
181;182;0.644528;2.86431;3.50883
182;183;1.11577;4.00537;5.12114
183;184;0.570342;2.19231;2.76265
184;185;0.736182;3.27016;4.00634
185;186;0.791369;3.42778;4.21915
186;187;0.657213;4.01702;4.67423
187;188;0.606458;3.44061;4.04707
188;189;2.09234;5.15501;7.24735
189;190;0.890457;6.01251;6.90296
190;191;1.18283;6.10675;7.28958
191;192;0.587866;3.67419;4.26205
192;193;0.879893;4.32755;5.20744
193;194;1.19175;2.85505;4.0468
194;195;0.748818;2.83486;3.58368
195;196;1.00201;3.82047;4.82248
196;197;0.798881;2.73144;3.53032
197;198;0.673693;6.80976;7.48346
198;199;0.645915;3.22442;3.87034
199;200;1.26741;5.25297;6.52039
200;201;0.926295;3.70259;4.62889
201;202;0.77328;4.58575;5.35903
202;203;0.823376;2.77819;3.60156
203;204;0.923812;2.77606;3.69987
204;205;0.80163;3.77773;4.57937
205;206;1.15337;4.67896;5.83233
206;207;0.606548;2.36416;2.97071
207;208;1.40427;4.1634;5.56767
208;209;0.957088;4.98345;5.94053
209;210;0.840588;4.72106;5.56165
210;211;0.917814;4.38728;5.30509
211;212;0.931162;6.44519;7.37635
212;213;0.971037;6.83425;7.80529
213;214;0.849348;4.82418;5.67353
214;215;0.826528;3.08205;3.90858
215;216;0.755312;4.45874;5.21405
216;217;0.789195;3.87184;4.66104
217;218;0.916532;4.15729;5.07382
218;219;0.732507;3.79195;4.52445
219;220;0.579269;3.45133;4.0306
220;221;1.40206;2.16269;3.56475
221;222;1.22579;2.48771;3.7135
222;223;0.74998;2.26188;3.01186
223;224;0.632282;3.86201;4.4943
224;225;0.811075;3.79554;4.60661
225;226;0.554012;2.71081;3.26482
226;227;0.529948;2.29037;2.82032
227;228;0.703714;3.52623;4.22994
228;229;0.570962;3.76397;4.33493
229;230;0.55938;3.05712;3.6165
230;231;0.617167;3.78187;4.39904
231;232;2.71576;3.08937;5.80513
232;233;0.527261;2.13781;2.66507
233;234;0.483259;2.72316;3.20642
234;235;0.723515;3.48718;4.2107
235;236;0.815989;4.41985;5.23584
236;237;0.536814;2.34744;2.88425
237;238;0.6092;2.28644;2.89564
238;239;0.570876;2.77028;3.34116
239;240;0.497772;3.78106;4.27884
240;241;0.533354;2.09959;2.63294
241;242;1.30674;3.88813;5.19488
242;243;0.679254;3.34815;4.02741
243;244;0.568922;4.67516;5.24408
244;245;2.47372;2.56833;5.04205
245;246;0.617804;2.78306;3.40086
246;247;0.763329;2.02785;2.79118
247;248;0.516483;2.97249;3.48898
248;249;0.49743;3.98318;4.48061
249;250;0.480297;2.13246;2.61276
250;251;0.516286;2.29767;2.81395
251;252;0.754114;3.79648;4.55059
252;253;0.620437;4.27997;4.90041
253;254;0.764255;2.6089;3.37316
254;255;0.628797;1.77497;2.40377
255;256;0.503474;2.8934;3.39687
256;257;0.526975;6.91688;7.44386
257;258;0.531267;2.92609;3.45736
258;259;0.622212;3.66818;4.2904
259;260;0.645384;3.06155;3.70694
260;261;0.455402;2.56175;3.01715
261;262;0.659978;2.54178;3.20176
262;263;0.670836;3.13543;3.80627
263;264;1.03593;6.199;7.23493
264;265;0.490706;2.73229;3.223
265;266;0.522643;2.03988;2.56253
266;267;1.71117;2.92506;4.63623
267;268;0.393327;2.34715;2.74048
268;269;0.394242;2.77666;3.1709
