Iteration;TimeStep;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0;1;2.76602;68.9567;71.7227
1;2;0.603712;7.45599;8.0597
2;3;0.415152;6.50219;6.91734
3;4;0.400105;4.52434;4.92444
4;5;0.601929;7.45292;8.05485
5;6;0.316933;5.56507;5.882
6;7;0.599571;4.95075;5.55032
7;8;0.549676;3.85434;4.40401
8;9;0.488664;4.32902;4.81768
9;10;0.715852;3.47501;4.19086
10;11;0.541001;3.61107;4.15207
11;12;0.427801;3.50349;3.93129
12;13;0.534911;2.44299;2.97791
13;14;0.870027;2.43565;3.30568
14;15;0.980589;3.31505;4.29564
15;16;4.0838;2.64361;6.72741
16;17;3.0714;4.91729;7.98869
17;18;0.907661;3.94031;4.84797
18;19;2.15272;2.5739;4.72662
19;20;1.17649;3.50369;4.68018
20;21;1.21554;2.689;3.90454
21;22;0.982235;4.30154;5.28377
22;23;1.06133;2.97607;4.0374
23;24;0.814175;3.89203;4.7062
24;25;3.00472;2.64006;5.64478
25;26;0.807603;2.80488;3.61249
26;27;1.91043;2.85168;4.76211
27;28;0.830506;2.28225;3.11276
28;29;0.726882;3.18618;3.91307
29;30;1.58713;3.64031;5.22744
30;31;1.90979;3.49365;5.40345
31;32;1.06405;2.24821;3.31226
32;33;0.801027;3.8905;4.69153
33;34;1.01622;2.70601;3.72223
34;35;0.871362;2.87325;3.74461
35;36;0.820367;3.09977;3.92014
36;37;0.571471;5.591;6.16247
37;38;0.634502;3.83606;4.47056
38;39;2.24678;5.16325;7.41003
39;40;0.691217;3.57987;4.27109
40;41;1.04719;3.97304;5.02022
41;42;0.937546;2.15963;3.09718
42;43;0.747733;2.2159;2.96363
43;44;2.77461;3.71681;6.49141
44;45;1.00076;4.71506;5.71582
45;46;0.86321;15.2363;16.0995
46;47;0.858093;9.06996;9.92805
47;48;1.06931;4.65091;5.72022
48;49;1.05134;3.71632;4.76767
49;50;0.958966;3.48748;4.44645
50;51;0.698491;3.3415;4.03999
51;52;1.90366;5.45674;7.36039
52;53;0.755961;2.71282;3.46878
53;54;0.783824;4.50709;5.29091
54;55;1.8665;2.91373;4.78023
55;56;0.828216;2.40398;3.2322
56;57;0.802062;4.47057;5.27263
57;58;0.840334;4.63976;5.48009
58;59;0.898035;9.47417;10.3722
59;60;0.906322;4.91814;5.82446
60;61;3.70889;3.53345;7.24234
61;62;2.54418;3.54026;6.08444
62;63;1.21769;4.41861;5.6363
63;64;0.914342;15.8004;16.7148
64;65;0.818842;4.47299;5.29183
65;66;0.91532;7.91808;8.8334
66;67;0.678824;3.90303;4.58185
67;68;0.978061;2.72958;3.70764
68;69;1.78349;10.7702;12.5537
69;70;0.886577;2.48918;3.37576
70;71;0.730825;3.06838;3.7992
71;72;0.891205;5.34698;6.23818
72;73;0.804243;4.67966;5.4839
73;74;0.949416;3.77981;4.72923
74;75;1.06797;2.98074;4.04871
75;76;0.631545;3.6995;4.33105
76;77;0.975208;3.59676;4.57197
77;78;4.24101;3.05924;7.30025
78;79;1.41476;4.58298;5.99774
79;80;1.94504;2.99988;4.94492
80;81;1.97886;7.99182;9.97068
81;82;2.79291;6.22606;9.01896
82;83;2.88198;2.85991;5.74188
83;84;1.2661;2.65622;3.92232
84;85;0.781724;2.68534;3.46707
85;86;0.818517;17.2427;18.0612
86;87;0.820437;4.49304;5.31348
87;88;2.77525;2.83696;5.61221
88;89;0.81021;4.47366;5.28387
89;90;1.11334;4.85934;5.97268
90;91;0.795351;3.23145;4.0268
91;92;1.82896;3.86634;5.6953
92;93;0.891767;2.90764;3.79941
93;94;1.11387;3.08383;4.19769
94;95;1.95796;2.63432;4.59228
95;96;0.893359;4.89787;5.79123
96;97;0.701887;2.61412;3.31601
97;98;2.0255;2.60198;4.62749
98;99;0.879359;2.31567;3.19503
99;100;0.832254;2.60891;3.44117
100;101;0.618396;8.86186;9.48026
101;102;0.745508;3.37748;4.12299
102;103;0.81058;3.47755;4.28813
103;104;0.593502;5.22856;5.82206
104;105;0.911287;5.6802;6.59148
105;106;0.760744;2.76978;3.53053
106;107;0.72706;3.2713;3.99836
107;108;0.692736;2.68527;3.378
108;109;0.782597;3.04845;3.83104
109;110;0.983463;3.41253;4.39599
110;111;1.05167;2.79348;3.84514
111;112;0.704782;4.24328;4.94806
112;113;2.18491;3.22554;5.41045
113;114;0.882149;2.72116;3.60331
114;115;1.03668;3.51422;4.5509
115;116;0.895673;4.64567;5.54134
116;117;1.61922;3.30621;4.92542
117;118;1.41195;3.27473;4.68668
118;119;0.701386;2.92199;3.62338
119;120;0.748101;2.78447;3.53257
120;121;0.764891;3.04633;3.81122
121;122;2.1188;3.47909;5.59789
122;123;0.721159;15.5436;16.2648
123;124;1.01323;4.46024;5.47347
124;125;1.0487;13.3686;14.4173
125;126;0.876601;4.92183;5.79843
126;127;0.796867;3.23336;4.03022
127;128;1.4769;5.74116;7.21805
128;129;2.02187;4.26231;6.28418
129;130;0.92457;3.86218;4.78675
130;131;2.12264;2.63283;4.75547
131;132;0.758045;3.03912;3.79717
132;133;2.50046;3.14169;5.64215
133;134;0.856699;3.6675;4.5242
134;135;0.645892;4.87358;5.51947
135;136;1.52755;4.22815;5.7557
136;137;0.822697;3.53897;4.36166
137;138;0.749186;3.23335;3.98253
138;139;0.928117;2.0268;2.95491
139;140;0.806089;3.91477;4.72086
140;141;1.30867;3.46677;4.77544
141;142;0.645337;2.72081;3.36615
142;143;0.712128;3.08087;3.793
143;144;0.927547;2.37993;3.30748
144;145;0.777502;9.22726;10.0048
145;146;2.23294;3.24256;5.4755
146;147;2.71868;3.07292;5.7916
147;148;0.674926;2.48405;3.15898
148;149;0.879745;4.26591;5.14566
149;150;0.766437;2.73359;3.50003
150;151;0.679463;4.09208;4.77154
151;152;2.72565;2.95233;5.67798
152;153;0.882695;2.67916;3.56185
153;154;3.28304;3.79848;7.08151
154;155;0.703016;3.23533;3.93835
155;156;1.11015;3.72744;4.8376
156;157;3.57493;4.63821;8.21314
157;158;3.25714;3.53833;6.79547
158;159;0.627815;3.14569;3.7735
159;160;0.786653;3.26805;4.05471
160;161;0.712294;3.44732;4.15961
161;162;2.55009;2.38086;4.93095
162;163;0.964476;4.8723;5.83677
163;164;0.755389;8.08282;8.83821
164;165;0.747638;4.85023;5.59787
165;166;0.762436;2.49522;3.25765
166;167;0.802296;2.60781;3.41011
167;168;0.908419;3.17126;4.07968
168;169;1.17852;3.79823;4.97676
169;170;1.2611;3.37357;4.63467
170;171;3.18469;3.10827;6.29296
171;172;0.59489;3.19043;3.78532
172;173;0.759829;4.74925;5.50908
173;174;3.76101;2.56786;6.32887
174;175;2.77099;2.53083;5.30181
175;176;1.15169;3.63972;4.7914
176;177;0.813097;2.49639;3.30949
177;178;0.67577;4.59673;5.2725
178;179;1.10429;8.55741;9.6617
179;180;0.566984;4.30388;4.87086
180;181;0.807996;4.51184;5.31983
181;182;0.612808;2.78227;3.39507
182;183;0.795381;12.5052;13.3006
183;184;0.842735;4.25885;5.10158
184;185;0.607149;2.78448;3.39163
185;186;1.19971;3.18527;4.38498
186;187;0.697363;2.7641;3.46146
187;188;0.901496;2.68069;3.58218
188;189;0.741729;5.13139;5.87312
189;190;0.647022;3.09025;3.73728
190;191;0.61552;2.46678;3.0823
191;192;0.736685;2.42246;3.15915
192;193;0.709678;4.77972;5.4894
193;194;0.790864;3.73806;4.52893
194;195;0.735783;2.87282;3.60861
195;196;0.684349;3.49935;4.1837
196;197;0.695078;2.30834;3.00342
197;198;1.10145;2.81582;3.91727
198;199;0.60186;3.53388;4.13574
199;200;0.825728;4.27545;5.10117
200;201;0.776361;2.66748;3.44384
201;202;0.955365;3.7806;4.73597
202;203;1.17213;3.95227;5.12439
203;204;0.866325;3.20503;4.07135
204;205;0.808637;3.05022;3.85886
205;206;0.833656;2.41809;3.25175
206;207;1.03146;3.6329;4.66436
207;208;0.687342;2.73412;3.42146
208;209;1.06817;3.79995;4.86812
209;210;1.13007;3.09059;4.22065
210;211;0.6152;3.47035;4.08555
211;212;0.750626;3.34772;4.09835
212;213;0.977916;2.77969;3.7576
213;214;0.901543;3.04582;3.94737
214;215;0.850071;3.03892;3.88899
215;216;0.782987;3.77978;4.56276
216;217;0.743763;4.52865;5.27242
217;218;0.705956;3.65365;4.35961
218;219;0.779512;3.74881;4.52832
219;220;0.762296;2.07014;2.83243
220;221;0.988364;3.30314;4.2915
221;222;0.783747;3.65595;4.4397
222;223;0.695206;2.89603;3.59124
223;224;1.58428;2.74893;4.33322
224;225;0.736901;3.10703;3.84393
225;226;0.691838;2.43943;3.13126
226;227;1.00985;3.13678;4.14663
227;228;0.987913;9.33987;10.3278
228;229;0.731901;3.38533;4.11723
229;230;0.788103;2.29672;3.08483
230;231;0.795779;3.51593;4.31171
231;232;0.784972;2.29882;3.08379
232;233;0.814939;3.53942;4.35436
233;234;0.72776;3.90615;4.63391
234;235;0.633147;3.77053;4.40368
235;236;0.824801;4.3517;5.1765
236;237;0.838987;4.71185;5.55084
237;238;0.838649;4.054;4.89265
238;239;0.775262;2.24158;3.01684
239;240;1.32438;4.24975;5.57413
240;241;1.35068;4.49456;5.84524
241;242;0.789001;5.0198;5.8088
242;243;1.28445;4.42943;5.71388
243;244;1.20412;3.83364;5.03775
244;245;1.33122;4.8228;6.15402
245;246;0.638489;3.74727;4.38576
246;247;1.70219;3.88572;5.58791
247;248;2.15198;6.30123;8.45322
248;249;0.750283;3.91004;4.66032
249;250;0.623737;3.88103;4.50476
250;251;0.851358;3.7567;4.60805
251;252;0.80014;3.58225;4.38239
252;253;0.631388;3.35819;3.98958
253;254;0.708483;4.89925;5.60774
254;255;0.645639;3.74158;4.38722
255;256;0.922359;4.71565;5.63801
256;257;0.733747;3.3693;4.10304
257;258;1.03323;3.90567;4.9389
258;259;1.32751;4.50564;5.83316
259;260;0.554537;5.0003;5.55483
260;261;0.713337;4.4779;5.19123
261;262;0.767272;4.29485;5.06212
262;263;0.898349;3.99442;4.89277
263;264;0.5022;2.11928;2.62148
264;265;0.817296;5.40144;6.21873
265;266;0.999393;4.67275;5.67214
266;267;0.5716;6.20692;6.77852
267;268;0.771812;3.01458;3.7864
268;269;1.18454;5.15033;6.33487
269;270;0.804298;4.37491;5.17921
270;271;0.710832;5.23851;5.94934
