Iteration;TimeStep;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0;1;0.285197;71.8414;72.1266
1;2;4.51913;19.5614;24.0805
2;3;1.2155;10.3766;11.5921
3;4;8.85461;9.46195;18.3166
4;5;0.291303;6.71583;7.00713
5;6;0.157094;12.651;12.8081
6;7;0.259343;7.53314;7.79248
7;8;4.93748;4.18638;9.12386
8;9;0.394239;7.42928;7.82352
9;10;6.30271;2.73784;9.04055
10;11;0.359787;3.14045;3.50024
11;12;1.52686;7.41048;8.93734
12;13;3.87036;6.55833;10.4287
13;14;0.44748;6.90005;7.34753
14;15;0.415972;5.73038;6.14635
15;16;0.642642;2.74055;3.38319
16;17;7.16379;2.3912;9.55499
17;18;2.768;6.9284;9.6964
18;19;0.577419;3.09622;3.67363
19;20;10.1896;8.24907;18.4387
20;21;10.0248;3.75253;13.7773
21;22;0.529819;11.4505;11.9804
22;23;0.613202;2.04595;2.65915
23;24;0.586622;8.72205;9.30867
24;25;7.035;2.39275;9.42775
25;26;0.694479;6.16412;6.8586
26;27;0.540775;10.2603;10.801
27;28;0.493497;6.02891;6.52241
28;29;3.09187;3.93368;7.02555
29;30;1.68527;11.6979;13.3831
30;31;1.11105;12.2146;13.3257
31;32;2.32042;10.5305;12.851
32;33;1.17644;7.36424;8.54068
33;34;1.67802;6.52893;8.20695
34;35;0.5189;2.77411;3.29301
35;36;1.518;6.40588;7.92388
36;37;3.30636;7.52888;10.8352
37;38;0.56474;6.77965;7.3444
38;39;0.547975;6.4886;7.03658
39;40;1.49343;3.09955;4.59297
40;41;0.806815;4.10775;4.91457
41;42;0.504126;3.10093;3.60505
42;43;0.77172;6.01666;6.78838
43;44;1.50743;7.2942;8.80162
44;45;0.68475;1.83521;2.51996
45;46;0.513908;8.39455;8.90846
46;47;3.79021;2.39792;6.18813
47;48;0.605281;2.80151;3.40679
48;49;5.69376;2.67938;8.37314
49;50;0.690452;7.29618;7.98663
50;51;0.634167;2.83718;3.47134
51;52;5.02572;2.05756;7.08327
52;53;2.14006;2.04578;4.18585
53;54;0.603934;1.92492;2.52885
54;55;6.72564;2.06358;8.78922
55;56;0.987603;7.32041;8.30801
56;57;0.56369;8.15871;8.7224
57;58;0.884696;3.5775;4.4622
