Iteration;TimeStep;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0;1;12.4634;58.4726;70.936
1;2;46.9492;9.23319;56.1823
2;3;31.1542;10.7181;41.8723
3;4;18.4408;12.8267;31.2675
4;5;31.3387;8.41073;39.7495
5;6;37.3113;9.7313;47.0426
6;7;25.4569;6.93991;32.3968
7;8;22.678;23.6191;46.2971
8;9;7.90837;15.5399;23.4483
9;10;17.8926;16.0978;33.9905
10;11;28.116;2.80892;30.9249
11;12;37.0914;2.21235;39.3038
12;13;8.21946;1.70642;9.92588
13;14;17.3434;2.93609;20.2795
14;15;19.2517;16.1047;35.3563
15;16;6.06006;14.0929;20.1529
16;17;11.5993;23.4729;35.0722
17;18;8.64758;17.4063;26.0539
18;19;37.8077;6.82716;44.6348
19;20;23.9276;2.79144;26.719
20;21;13.4129;4.06752;17.4805
21;22;5.72359;11.6109;17.3345
22;23;0.801335;22.4143;23.2157
23;24;2.38544;18.646;21.0315
24;25;1.34652;19.9119;21.2584
25;26;3.5182;6.80112;10.3193
26;27;12.3124;13.7548;26.0672
27;28;2.60522;19.1747;21.7799
28;29;5.92365;15.3559;21.2795
29;30;20.1921;12.1514;32.3436
30;31;3.72776;8.18412;11.9119
31;32;0.751403;6.96055;7.71195
32;33;16.9911;15.4407;32.4318
33;34;14.0238;11.8995;25.9233
34;35;44.7263;7.49423;52.2206
35;36;21.2968;18.7094;40.0062
36;37;2.46446;24.1602;26.6246
37;38;2.50917;17.6307;20.1398
38;39;17.365;19.6989;37.064
39;40;32.0546;2.88758;34.9422
40;41;33.8785;6.29598;40.1745
41;42;23.0593;2.25812;25.3174
42;43;19.3202;13.7861;33.1064
43;44;25.2351;2.02984;27.265
44;45;5.98568;19.3593;25.345
45;46;5.52942;19.729;25.2585
46;47;7.71904;14.3676;22.0866
47;48;0.752692;14.5886;15.3413
48;49;15.4439;15.6689;31.1128
49;50;6.86778;12.3744;19.2422
50;51;6.88336;16.046;22.9294
51;52;12.3149;23.5754;35.8902
52;53;11.2458;1.68433;12.9301
53;54;27.7912;3.51301;31.3042
54;55;25.7825;1.55598;27.3385
55;56;42.7425;2.77037;45.5128
56;57;22.2603;3.81221;26.0725
57;58;5.13864;18.008;23.1467
58;59;21.0444;12.6756;33.72
59;60;14.5753;6.12852;20.7038
60;61;26.5708;5.93238;32.5032
61;62;26.8157;2.09498;28.9107
62;63;25.2975;15.5923;40.8898
63;64;23.5623;2.333;25.8953
64;65;27.0858;2.42094;29.5067
65;66;37.3226;7.47267;44.7952
66;67;21.1281;8.22472;29.3528
67;68;22.0287;7.82679;29.8555
68;69;15.5802;13.824;29.4042
69;70;31.7506;2.85412;34.6047
70;71;21.9051;6.61693;28.5221
71;72;9.10134;10.8306;19.9319
72;73;25.1144;2.0359;27.1503
73;74;32.9388;1.94897;34.8878
74;75;15.8417;9.11434;24.9561
75;76;9.42605;1.58787;11.0139
76;77;26.1289;13.8741;40.003
77;78;13.69;14.3342;28.0241
78;79;25.4158;3.6828;29.0986
79;80;24.7037;5.99171;30.6954
80;81;14.1355;6.87647;21.0119
81;82;41.722;7.10625;48.8282
82;83;2.17232;24.4154;26.5878
83;84;5.17859;15.2816;20.4601
84;85;23.248;4.14669;27.3947
85;86;0.999006;5.04383;6.04284
86;87;13.5848;16.6678;30.2526
87;88;2.19192;19.8147;22.0066
88;89;18.7068;20.3125;39.0192
89;90;1.92712;13.4812;15.4083
90;91;2.44887;19.9179;22.3667
91;92;1.66277;8.71255;10.3753
92;93;22.9504;8.70904;31.6595
93;94;5.80773;15.9914;21.7991
94;95;1.5775;14.7421;16.3196
95;96;25.2477;4.39754;29.6453
96;97;22.9041;2.71606;25.6201
97;98;16.2834;4.13946;20.4228
98;99;1.99097;19.6195;21.6104
99;100;1.62649;15.1426;16.7691
100;101;23.5658;9.41999;32.9857
101;102;2.33287;18.6997;21.0325
102;103;2.57982;7.35299;9.93281
103;104;16.2833;14.2428;30.5261
104;105;22.8815;4.95919;27.8407
105;106;24.1984;8.17053;32.369
106;107;2.41442;23.3629;25.7773
107;108;11.5931;14.1028;25.6959
108;109;12.5186;6.99772;19.5164
109;110;5.95877;17.1642;23.123
110;111;6.27953;12.611;18.8905
111;112;18.7612;17.1193;35.8805
112;113;1.61542;20.3271;21.9426
113;114;4.16926;1.79186;5.96112
114;115;2.11887;22.7763;24.8952
115;116;5.8997;12.5591;18.4588
116;117;0.849213;7.72012;8.56934
117;118;11.8211;14.8915;26.7126
118;119;0.852104;12.4037;13.2558
119;120;3.77681;21.9045;25.6813
120;121;2.32713;20.4047;22.7318
121;122;0.976943;8.71212;9.68906
122;123;5.6845;11.9111;17.5956
123;124;11.7845;16.8722;28.6567
124;125;0.733758;8.5294;9.26316
125;126;17.4587;14.9688;32.4275
126;127;0.805271;15.9645;16.7698
127;128;12.3426;2.19374;14.5364
128;129;25.9977;8.55924;34.557
129;130;12.0867;6.69624;18.783
130;131;34.7701;3.87005;38.6402
131;132;26.7916;2.73402;29.5256
132;133;23.9314;19.3751;43.3065
133;134;26.7066;8.2218;34.9284
134;135;24.2303;9.35639;33.5867
135;136;23.5175;6.98375;30.5012
136;137;10.8545;3.08177;13.9363
137;138;17.0034;1.7673;18.7707
138;139;10.8809;10.8262;21.7071
139;140;16.3055;1.94783;18.2533
140;141;5.96841;17.2989;23.2674
141;142;10.4153;15.6611;26.0764
142;143;23.8828;5.67673;29.5596
143;144;20.3844;4.55991;24.9443
144;145;19.9575;16.1318;36.0893
145;146;16.424;12.7253;29.1493
146;147;14.1585;8.64283;22.8014
147;148;31.0835;9.35675;40.4403
148;149;19.6547;2.05481;21.7095
149;150;21.8734;6.76701;28.6404
150;151;21.1303;11.6627;32.793
151;152;6.04901;11.7017;17.7507
152;153;19.7951;3.16981;22.965
153;154;10.6236;10.9628;21.5864
154;155;24.0091;4.33257;28.3417
155;156;20.8285;1.61578;22.4442
156;157;32.7364;3.56982;36.3062
157;158;28.2111;7.40292;35.614
158;159;6.68531;6.1706;12.8559
159;160;16.2855;17.6114;33.8968
160;161;23.0477;13.5285;36.5762
161;162;20.6731;1.39701;22.0701
162;163;11.4277;14.6439;26.0716
163;164;28.8891;7.09061;35.9797
164;165;18.9151;12.9494;31.8644
165;166;33.3826;2.6376;36.0202
166;167;18.8472;2.723;21.5702
167;168;24.0216;3.57106;27.5927
168;169;5.2242;18.7213;23.9455
169;170;26.013;10.3819;36.3949
170;171;20.2049;2.78613;22.991
171;172;35.3948;2.263;37.6578
172;173;33.8232;6.81504;40.6382
173;174;21.8203;7.43238;29.2527
174;175;30.207;2.44488;32.6519
175;176;26.0649;1.86508;27.93
176;177;24.7776;5.52229;30.2999
177;178;26.0787;12.3141;38.3928
178;179;6.54723;11.4995;18.0467
179;180;24.1308;1.49867;25.6295
180;181;26.0402;11.34;37.3802
181;182;20.0429;4.60372;24.6466
182;183;26.721;5.55379;32.2748
183;184;30.2585;6.75968;37.0182
184;185;10.6571;15.445;26.1021
185;186;30.9618;2.94671;33.9085
186;187;26.4113;6.58057;32.9919
187;188;26.6727;7.21758;33.8903
188;189;2.62588;15.1986;17.8245
189;190;7.58911;13.6618;21.2509
190;191;15.339;2.59994;17.9389
191;192;39.6364;2.84162;42.478
192;193;12.1657;2.62328;14.789
193;194;28.0174;4.09879;32.1162
194;195;27.3792;3.22548;30.6047
195;196;21.034;1.8637;22.8977
196;197;27.2882;3.05555;30.3437
197;198;21.7807;11.5989;33.3797
198;199;30.5157;1.89507;32.4108
199;200;13.4007;6.99936;20.4001
200;201;12.242;5.85257;18.0946
201;202;26.6155;9.67369;36.2892
202;203;36.4542;7.44336;43.8975
203;204;21.5871;6.32751;27.9146
204;205;30.2641;2.03496;32.2991
205;206;32.2223;5.31349;37.5358
206;207;25.6748;2.17203;27.8468
207;208;20.2597;1.89805;22.1578
208;209;28.0329;2.11846;30.1513
209;210;24.7546;6.09086;30.8455
210;211;20.3553;8.05785;28.4132
211;212;11.9144;12.3818;24.2962
212;213;8.49446;14.4089;22.9034
213;214;20.7677;3.94494;24.7127
214;215;17.0969;4.58745;21.6844
215;216;8.02992;17.1327;25.1626
216;217;5.9074;15.6577;21.5651
217;218;15.2584;13.4393;28.6977
218;219;19.2932;11.9973;31.2905
219;220;9.1369;7.29544;16.4323
220;221;10.6293;3.50781;14.1371
221;222;10.3842;13.0082;23.3924
222;223;0.72012;11.8196;12.5397
223;224;22.3091;7.03282;29.342
224;225;10.1813;8.92569;19.107
225;226;16.5679;7.05373;23.6216
226;227;11.69;1.80803;13.498
227;228;33.1257;2.18355;35.3092
228;229;32.2805;1.79585;34.0763
229;230;41.4196;5.18761;46.6072
230;231;26.7504;8.44922;35.1996
231;232;23.3242;5.47602;28.8002
232;233;31.5;1.59536;33.0954
233;234;26.9877;3.7917;30.7794
234;235;26.1419;11.5728;37.7148
235;236;10.7297;12.5912;23.3209
236;237;20.6448;10.1002;30.745
237;238;19.313;7.21763;26.5306
238;239;36.6089;2.09021;38.6991
239;240;33.9188;2.34889;36.2677
240;241;10.7951;2.6943;13.4894
241;242;6.64433;1.79202;8.43636
242;243;34.4002;1.77553;36.1757
243;244;17.8544;7.48473;25.3391
244;245;10.2001;7.77071;17.9708
245;246;19.8163;6.69428;26.5106
246;247;18.2146;1.49242;19.7071
247;248;25.9191;2.86282;28.7819
248;249;21.0816;1.93535;23.017
249;250;31.9674;2.04572;34.0132
250;251;20.1242;1.57203;21.6962
251;252;26.5192;4.00357;30.5228
252;253;20.4942;2.39994;22.8941
253;254;27.109;1.54839;28.6574
254;255;18.1404;2.30341;20.4439
255;256;22.1833;2.01956;24.2028
256;257;14.2071;6.10872;20.3158
257;258;22.7645;8.01814;30.7826
258;259;4.37669;14.8917;19.2684
259;260;25.8971;6.45029;32.3474
260;261;9.62608;4.84033;14.4664
261;262;13.9646;6.05241;20.017
262;263;31.6908;7.05185;38.7427
263;264;22.5104;5.05898;27.5694
264;265;10.4155;4.04788;14.4634
265;266;32.3621;3.01641;35.3785
266;267;16.5558;6.71713;23.2729
267;268;24.9263;6.89867;31.8249
268;269;34.7981;1.8774;36.6755
269;270;19.3577;7.9208;27.2785
270;271;6.98313;13.0911;20.0742
271;272;24.8542;2.18603;27.0402
272;273;21.0403;3.72942;24.7697
