Iteration;TimeStep;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0;1;0.02131;121.026;121.048
1;2;0.034611;9.06039;9.095
2;3;0.075843;7.68269;7.75853
3;4;0.081565;5.18429;5.26586
4;5;0.080657;2.34792;2.42858
5;6;0.107147;5.58889;5.69604
6;7;0.178819;6.22112;6.39994
7;8;0.159498;3.99513;4.15463
8;9;0.207465;2.20872;2.41618
9;10;0.24495;3.46515;3.7101
10;11;0.264045;4.45546;4.71951
11;12;0.307511;3.2371;3.54461
12;13;0.330314;3.71498;4.0453
13;14;0.362448;1.69171;2.05416
14;15;0.410418;2.65026;3.06068
15;16;0.418265;2.15769;2.57595
16;17;0.457037;3.6769;4.13394
17;18;0.544811;4.06056;4.60538
18;19;0.483947;2.86755;3.3515
19;20;0.481609;4.4676;4.94921
20;21;0.551043;3.50924;4.06029
21;22;0.588927;5.17296;5.76189
22;23;0.582827;3.25091;3.83374
23;24;0.508436;4.09731;4.60575
24;25;1.88096;3.83509;5.71605
25;26;0.621888;4.08783;4.70972
26;27;0.510747;3.89744;4.40819
27;28;0.557461;2.61571;3.17317
28;29;1.41739;2.29485;3.71224
29;30;1.50697;2.78134;4.28831
30;31;0.469852;2.68651;3.15636
31;32;0.481131;1.76916;2.25029
32;33;0.486885;5.36812;5.855
33;34;0.655477;2.51976;3.17524
34;35;0.71181;3.47575;4.18756
35;36;0.511599;4.38946;4.90106
36;37;0.481688;3.55654;4.03823
37;38;0.483355;2.2372;2.72056
38;39;0.554131;6.65837;7.2125
39;40;0.465195;1.65399;2.11919
40;41;0.511722;2.19745;2.70917
41;42;0.467559;1.6197;2.08725
42;43;0.475661;2.62017;3.09584
43;44;0.464229;3.47648;3.94071
44;45;0.49892;1.95382;2.45274
45;46;0.496578;3.11214;3.60872
46;47;0.524541;3.80853;4.33307
47;48;0.773932;7.50626;8.28019
48;49;0.501859;4.94642;5.44828
49;50;0.852373;5.5351;6.38747
50;51;0.47589;3.20059;3.67648
51;52;0.55024;2.99851;3.54875
52;53;0.470207;2.44841;2.91862
53;54;0.473878;4.2312;4.70508
54;55;0.514214;2.83277;3.34698
55;56;0.462191;4.00063;4.46282
56;57;0.703469;3.35633;4.0598
57;58;0.478532;5.43592;5.91445
58;59;1.00543;3.65956;4.66499
59;60;0.449214;3.24228;3.6915
60;61;0.454056;4.56892;5.02297
61;62;0.576484;5.16634;5.74283
62;63;0.50905;2.54941;3.05846
63;64;0.4733;2.15052;2.62382
64;65;0.461617;3.28328;3.7449
65;66;0.496104;3.65934;4.15545
66;67;0.491279;4.51016;5.00144
67;68;0.467559;4.5513;5.01885
68;69;0.454799;3.09425;3.54905
69;70;0.743018;2.7385;3.48152
70;71;0.485863;3.17952;3.66538
71;72;0.456983;2.07085;2.52783
72;73;0.445127;4.01131;4.45643
73;74;0.484225;4.7724;5.25662
74;75;0.454118;2.27222;2.72634
75;76;0.444956;2.98844;3.43339
76;77;0.49631;1.48963;1.98594
77;78;2.0994;2.45677;4.55618
78;79;0.504365;2.64493;3.14929
79;80;0.466568;2.24582;2.71239
80;81;0.452328;3.169;3.62132
81;82;0.50424;4.25779;4.76203
82;83;0.483293;2.60678;3.09007
83;84;0.489616;3.26602;3.75564
84;85;0.468019;5.71415;6.18217
85;86;0.464097;4.04953;4.51363
86;87;0.455267;2.00247;2.45773
87;88;0.464618;3.82243;4.28705
88;89;0.454892;5.57738;6.03227
89;90;0.48003;3.03728;3.51731
90;91;0.467472;2.64999;3.11746
91;92;0.793543;5.83425;6.6278
92;93;0.669872;4.18964;4.85951
93;94;0.451713;3.85866;4.31038
94;95;0.488423;2.89548;3.3839
95;96;1.53827;4.78576;6.32403
96;97;0.558804;4.75619;5.315
97;98;0.499448;2.79029;3.28974
98;99;0.457392;2.23783;2.69522
99;100;0.484375;3.78911;4.27349
100;101;0.470335;2.80215;3.27249
101;102;0.636749;3.2883;3.92505
102;103;0.454215;4.17793;4.63214
103;104;0.434396;2.84107;3.27546
104;105;0.510109;3.0397;3.54981
105;106;0.470676;2.3473;2.81798
106;107;0.467455;3.12815;3.59561
107;108;0.461605;4.24255;4.70416
108;109;0.528955;4.9169;5.44586
109;110;0.474834;3.09325;3.56808
110;111;0.477399;3.10697;3.58436
111;112;0.446564;3.33392;3.78048
112;113;0.665471;2.62048;3.28595
113;114;0.476468;3.04358;3.52005
114;115;0.815962;4.65121;5.46718
115;116;0.451963;3.03538;3.48734
116;117;0.444225;3.13558;3.57981
117;118;2.00092;3.11126;5.11219
118;119;0.522249;4.40247;4.92472
119;120;0.523099;3.34678;3.86988
120;121;0.741622;6.21664;6.95826
121;122;0.811183;3.20614;4.01732
122;123;0.466544;4.17427;4.64082
123;124;0.466095;4.17971;4.64581
124;125;0.449771;5.95341;6.40318
125;126;0.491139;4.79565;5.28679
126;127;0.525902;3.45495;3.98085
127;128;0.701199;5.00559;5.70679
128;129;0.450785;2.97561;3.42639
129;130;0.471589;4.60132;5.07291
130;131;0.770251;4.39526;5.16552
131;132;0.452228;3.36992;3.82215
132;133;0.473081;4.63414;5.10722
133;134;0.470758;4.86985;5.34061
134;135;3.49839;3.42379;6.92218
135;136;0.483896;3.81357;4.29746
136;137;0.465161;2.1518;2.61696
137;138;0.981234;4.08266;5.06389
138;139;0.468556;3.4051;3.87365
139;140;0.461749;2.63703;3.09878
140;141;0.475281;4.19244;4.66772
141;142;0.464218;4.65745;5.12167
142;143;0.500298;3.59037;4.09067
143;144;0.505702;2.5067;3.0124
144;145;0.477597;2.88091;3.35851
145;146;0.447128;2.23656;2.68368
