Iteration;TimeStep;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0; 2 ; 0.103683 ; 76.0645 ; 76.1682
1; 4 ; 0.144334 ; 11.5599 ; 11.7042
2; 6 ; 0.120838 ; 5.50528 ; 5.62612
3; 8 ; 0.362709 ; 5.64282 ; 6.00553
4; 10 ; 0.224536 ; 3.40332 ; 3.62786
5; 12 ; 0.298525 ; 6.95228 ; 7.25081
6; 14 ; 0.318286 ; 3.27915 ; 3.59743
7; 16 ; 0.337382 ; 6.6079 ; 6.94528
8; 18 ; 0.460154 ; 2.84443 ; 3.30459
9; 20 ; 0.371299 ; 4.10915 ; 4.48045
10; 22 ; 0.498801 ; 2.91055 ; 3.40935
11; 24 ; 0.420804 ; 5.86826 ; 6.28906
12; 26 ; 0.413965 ; 2.41891 ; 2.83288
13; 28 ; 0.385528 ; 2.31262 ; 2.69815
14; 30 ; 0.360077 ; 2.41902 ; 2.7791
15; 32 ; 0.367804 ; 3.46238 ; 3.83019
16; 34 ; 0.36853 ; 2.18593 ; 2.55446
17; 36 ; 0.389435 ; 2.23476 ; 2.6242
18; 38 ; 0.373198 ; 1.83191 ; 2.20511
19; 40 ; 0.460524 ; 5.63309 ; 6.09361
20; 42 ; 0.375448 ; 2.44904 ; 2.82449
21; 44 ; 0.370128 ; 3.46072 ; 3.83085
22; 46 ; 0.458769 ; 2.52177 ; 2.98053
23; 48 ; 0.817402 ; 2.07004 ; 2.88744
24; 50 ; 0.437097 ; 4.85229 ; 5.28939
25; 52 ; 0.352522 ; 2.43301 ; 2.78553
26; 54 ; 0.4409 ; 2.90768 ; 3.34858
27; 56 ; 0.424072 ; 3.10204 ; 3.52611
28; 58 ; 0.371902 ; 2.88809 ; 3.25999
29; 60 ; 0.564241 ; 2.93017 ; 3.49441
30; 62 ; 0.394503 ; 2.79163 ; 3.18613
31; 64 ; 0.398343 ; 2.66439 ; 3.06273
32; 66 ; 0.357244 ; 4.52041 ; 4.87765
33; 68 ; 0.349349 ; 2.8338 ; 3.18315
34; 70 ; 0.382164 ; 2.61567 ; 2.99783
35; 72 ; 0.472806 ; 3.53694 ; 4.00975
36; 74 ; 0.35223 ; 3.03661 ; 3.38884
